Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2023-02-07 12:00:00,276314.0,19.0,2.2,1.0,6.0,4.0,7.0,39.0,26.7,7.6,45.0,2.0,620.0,0.0,22.0,7.0,7.0,22.0,17.0,62.0,1140.0,1110.0,37.0,1.0,2719.700799795,846.630649795,44.78486475295,1.761448181332014,17.215135,5.238552,39.0,44.78486475295,5.784865,0.14915264077490434,0.8655415,
2023-02-07 13:00:00,276314.0,19.0,2.2,1.0,6.0,3.0,11.0,37.0,24.8,7.1,42.0,0.0,120.0,0.0,22.0,7.0,3.0,24.0,14.0,58.0,1140.0,1110.0,41.0,2.0,2533.374449795,797.597399795,41.80187239578936,-0.12177954365989763,16.198128,3.12178,37.0,41.80187239578936,4.801872,0.13412348792586462,0.8854615,
2023-02-07 14:00:00,276314.0,19.0,4.4,0.0,7.0,8.0,8.0,18.0,26.1,9.1,44.0,7.0,0.0,0.0,22.0,0.0,10.0,0.0,0.0,43.0,0.0,0.0,6.0,1.0,2660.860899795,993.7303997949999,43.860214256773986,6.957108039027219,0.0,3.042892,18.0,43.860214256773986,25.860214,0.7015752491250791,0.2992402,
2023-02-07 15:00:00,276314.0,19.0,2.2,1.0,7.0,7.0,8.0,20.0,25.4,8.8,43.0,6.0,0.0,0.0,22.0,0.0,9.0,0.0,0.0,42.0,0.0,0.0,36.0,4.0,2592.214349795,964.3104497950001,42.761473022193854,5.966739086090115,0.0,3.033261,20.0,42.761473022193854,22.761473,0.6364802978298474,0.3813932,
2023-02-07 16:00:00,276314.0,19.0,151.2,0.0,6.0,9.0,6.0,32.0,26.1,7.6,44.0,2.0,860.0,0.0,22.0,7.0,3.0,21.0,53.0,68.0,1140.0,1110.0,45.0,1.0,2660.860899795,846.630649795,43.860214256773986,1.761448181332014,24.139786,1.238552,32.0,43.860214256773986,11.860214,0.3132632562394429,0.7182764,
2023-02-07 17:00:00,276314.0,19.0,98.0,0.0,8.0,10.0,8.0,37.0,25.4,8.8,43.0,6.0,1000.0,0.0,22.0,7.0,5.0,20.0,33.0,61.0,1140.0,1110.0,37.0,0.0,2592.214349795,964.3104497950001,42.761473022193854,5.966739086090115,18.238527,0.0,37.0,42.761473022193854,5.761473,0.16574306262342572,0.8434158,
2023-02-08 08:00:00,276314.0,19.0,32.8,0.0,7.0,6.0,7.0,38.0,26.1,8.2,44.0,4.0,460.0,0.0,22.0,7.0,7.0,20.0,22.0,59.0,1140.0,1110.0,33.0,1.0,2660.860899795,905.4705497949999,43.860214256773986,3.9156327252940173,15.139786,3.084367,38.0,43.860214256773986,5.860214,0.15898480565459652,0.8532914,
2023-02-08 09:00:00,276314.0,19.0,32.8,0.0,6.0,9.0,8.0,38.0,26.1,8.8,44.0,6.0,640.0,0.0,22.0,7.0,6.0,20.0,21.0,58.0,1140.0,1110.0,60.0,0.0,2660.860899795,964.3104497950001,43.860214256773986,5.966739086090115,14.139786,0.033261,38.0,43.860214256773986,5.860214,0.15478554770596642,0.8453503,
2023-02-08 10:00:00,276314.0,19.0,32.8,1.0,7.0,8.0,8.0,40.0,26.1,8.8,44.0,6.0,360.0,0.0,22.0,7.0,8.0,20.0,18.0,62.0,1140.0,1110.0,50.0,1.0,2660.860899795,964.3104497950001,43.860214256773986,5.966739086090115,18.139786,2.033261,40.0,43.860214256773986,3.860214,0.10472576130754827,0.8981298,
