Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-06-23 08:00:00,720.0,4.0,57.0,0.0,35.0,36.0,21.0,35.0,25.6,8.2,43.0,4.0,3000.0,220.0,8.0,5.0,15.0,10.0,127.0,0.0,0.0,80.0,540.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,905.4705497949999,309.15,43.07764542076404,3.9156327252940173,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,36.0,1.2662388851340267,1.5413829285738074,18.888953814075013,0.081602,36.922355,11.084367,7.077645,0.8762014957733246,,0.081602
2020-06-23 09:00:00,720.0,4.0,65.0,0.0,35.0,36.0,26.0,35.0,25.6,8.4,43.0,5.0,3000.0,140.0,8.0,5.0,13.0,10.0,127.0,0.0,0.0,79.0,540.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,925.083849795,309.15,43.07764542076404,4.610211269363276,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,36.0,1.2662388851340267,1.5113291486953022,18.55443644444123,0.081454,35.922355,8.389789,7.077645,0.8762014957733246,,0.081454
2020-06-23 10:00:00,720.0,4.0,65.0,0.0,34.0,35.0,21.0,35.0,25.0,8.2,42.0,4.0,3000.0,220.0,8.0,5.0,14.0,10.0,127.0,0.0,0.0,77.0,540.0,0.0,60.0,0.0,0.0,0.0,2552.987749795,905.4705497949999,308.15,42.123610354308255,3.9156327252940173,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,35.0,1.2607004078365245,1.4986509839628879,18.73795187862575,0.079979,34.87639,10.084367,7.12361,0.8769019794532714,,0.079979
2020-06-23 11:00:00,720.0,4.0,65.0,0.0,33.0,35.0,27.0,33.0,25.0,8.2,42.0,4.0,3000.0,100.0,8.0,5.0,14.0,10.0,127.0,0.0,0.0,79.0,540.0,0.0,60.0,0.0,0.0,0.0,2552.987749795,905.4705497949999,308.15,42.123610354308255,3.9156327252940173,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,35.0,1.2607004078365245,1.4986509839628879,18.73795187862575,0.079979,36.87639,10.084367,7.12361,0.7807884952732735,,0.079979
2020-06-23 12:00:00,720.0,4.0,65.0,0.0,34.0,34.0,21.0,34.0,25.0,8.4,42.0,5.0,3000.0,220.0,8.0,5.0,14.0,10.0,127.0,0.0,0.0,77.0,540.0,0.0,60.0,0.0,0.0,0.0,2552.987749795,925.083849795,307.15,42.123610354308255,4.610211269363276,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,34.0,1.2548315384904531,1.6433014613245778,18.39783801003484,0.08932,34.87639,9.389789,8.12361,0.9999999563853705,,0.08932
2020-06-23 14:00:00,720.0,4.0,49.0,0.0,28.0,32.0,17.0,27.0,23.8,7.4,40.0,1.0,3000.0,220.0,8.0,1.0,4.0,9.0,127.0,0.0,0.0,72.0,350.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,827.0173497950001,305.15,40.164114470573566,1.0182989954336676,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,32.0,1.2438558129272232,1.710494637091883,19.836877303841007,0.086228,31.835886,2.981701,8.164114,0.6711638582282302,,0.086228
2020-06-23 18:00:00,720.0,4.0,8.0,0.0,24.0,24.0,24.0,24.0,25.6,11.1,43.0,13.0,3000.0,20.0,8.0,1.0,23.0,7.0,26.0,0.0,0.0,65.0,350.0,0.0,29.0,0.0,0.0,0.0,2611.827649795,1189.863399795,297.15,43.07764542076404,13.050117260841603,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,24.0,1.1974866471156211,2.2951719449602614,14.489676344474466,0.1584,21.922355,9.949883,19.077645,0.9999999779446554,,0.1584
2020-06-23 22:00:00,720.0,4.0,8.0,0.0,25.0,24.0,24.0,24.0,15.8,10.7,25.0,12.0,0.0,0.0,8.0,0.0,24.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,43.0,0.0,1.0,0.0,1650.775949795,1150.636799795,297.15,24.84881762698842,11.895448307885943,24.967036600670497,24.84881762698842,1.832738256414381,1.2067424672369231,24.0,1.201889798494893,0.06079889501569429,8.145756939281556,0.007464,10.151182,12.104552,0.848818,0.0,,0.007464
2020-06-24 00:00:00,720.0,4.0,8.0,0.0,25.0,19.0,14.0,24.0,23.2,11.1,39.0,13.0,3000.0,40.0,8.0,0.0,23.0,6.0,27.0,0.0,0.0,55.0,0.0,0.0,60.0,0.0,0.0,0.0,2376.468049795,1189.863399795,292.15,39.15724672182836,13.050117260841603,39.275771056543306,39.15724672182836,1.8011099726401756,1.2868624556915962,19.0,1.1706161472568073,1.863254663857932,13.456001922380114,0.13847,15.842753,9.949883,20.157247,1.423811239294187,,0.13847
2020-06-24 01:00:00,720.0,4.0,81.0,0.0,29.0,38.0,23.0,35.0,28.0,8.7,47.0,6.0,3000.0,220.0,8.0,2.0,17.0,11.0,127.0,0.0,0.0,82.0,370.0,0.0,60.0,0.0,0.0,0.0,2847.1872497950003,954.503799795,311.15,46.73680772378418,5.631561393210063,46.85028906167901,46.73680772378418,1.7809775379046915,1.3311007108630994,38.0,1.276597048503888,2.0022924580565853,18.51782410607201,0.108128,35.263192,11.368439,8.736808,0.49258063435419513,,0.108128
