Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2020-11-12 09:00:00,737.0,19.0,80.0,0.0,15.0,26.0,12.0,-5.0,20.3,5.5,34.0,-7.0,840.0,0.0,12.0,8.0,11.0,8.0,50.0,0.0,0.0,41.0,890.0,0.0,17.0,0.0,0.0,0.0,2092.075199795,640.690999795,34.00562152346981,-6.80612020230825,6.994378,17.80612,-5.0,34.00562152346981,39.005622,2.0523202543959127,0.0442549,
2020-11-30 13:00:00,737.0,19.0,80.0,0.0,10.0,31.0,9.0,0.0,24.4,6.7,41.0,-2.0,1500.0,0.0,12.0,8.0,6.0,10.0,61.0,0.0,0.0,57.0,890.0,0.0,60.0,0.0,0.0,0.0,2494.1478497949997,758.3707997950002,41.15266006868552,-1.6923850735155952,15.84734,7.692385,0.0,41.15266006868552,41.15266,1.3209998731815014,0.0395001,
2020-11-30 14:00:00,737.0,19.0,80.0,1.0,10.0,35.0,11.0,5.0,25.6,7.7,43.0,2.0,1860.0,0.0,12.0,7.0,6.0,11.0,83.0,0.0,0.0,55.0,820.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,856.4372997950001,43.07764542076404,2.128160033334666,11.922355,3.87184,5.0,43.07764542076404,38.077645,1.1511594769105684,0.0701313,
2020-11-30 15:00:00,737.0,19.0,80.0,0.0,10.0,31.0,10.0,5.0,23.8,7.9,40.0,3.0,1800.0,0.0,12.0,7.0,6.0,10.0,75.0,0.0,0.0,52.0,820.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,876.050599795,40.164114470573566,2.852183332954155,11.835886,3.147817,5.0,40.164114470573566,35.164114,1.1657598645670224,0.0575638,
2020-11-30 16:00:00,737.0,19.0,80.0,0.0,9.0,35.0,10.0,4.0,26.2,7.4,44.0,1.0,1840.0,0.0,12.0,7.0,5.0,11.0,87.0,0.0,0.0,57.0,820.0,0.0,60.0,0.0,0.0,0.0,2670.667549795,827.0173497950001,44.01540253572364,1.0182989954336676,12.984597,3.981701,4.0,44.01540253572364,40.015403,1.142794316277679,0.0693466,
2020-11-30 17:00:00,737.0,19.0,80.0,0.0,9.0,35.0,10.0,4.0,26.2,7.4,44.0,1.0,1740.0,0.0,12.0,7.0,4.0,11.0,88.0,0.0,0.0,57.0,820.0,0.0,50.0,0.0,0.0,0.0,2670.667549795,827.0173497950001,44.01540253572364,1.0182989954336676,12.984597,2.981701,4.0,44.01540253572364,40.015403,1.142794316277679,0.0693466,
2021-01-23 09:00:00,737.0,19.0,80.0,0.0,6.0,31.0,8.0,3.0,24.4,7.2,41.0,0.0,1920.0,0.0,12.0,8.0,2.0,10.0,94.0,0.0,0.0,51.0,890.0,0.0,60.0,0.0,0.0,0.0,2494.1478497949997,807.4040497950001,41.15266006868552,0.2617237001121566,9.84734,1.738276,3.0,41.15266006868552,38.15266,1.085342045963313,0.0669654,
2021-01-23 10:00:00,737.0,19.0,80.0,0.0,6.0,37.0,9.0,3.0,28.0,7.2,47.0,0.0,1240.0,0.0,12.0,8.0,2.0,12.0,104.0,0.0,0.0,61.0,890.0,0.0,60.0,0.0,0.0,0.0,2847.1872497950003,807.4040497950001,46.73680772378418,0.2617237001121566,14.263192,1.738276,3.0,46.73680772378418,43.736808,1.0736434797875503,0.0589192,
2021-01-23 11:00:00,737.0,19.0,80.0,0.0,6.0,39.0,9.0,2.0,28.6,7.2,48.0,0.0,1200.0,0.0,12.0,8.0,2.0,13.0,108.0,0.0,0.0,64.0,890.0,0.0,60.0,0.0,0.0,0.0,2906.0271497950002,807.4040497950001,47.61508484535182,0.2617237001121566,16.384915,1.738276,2.0,47.61508484535182,45.615085,1.0961189955400261,0.0367086,
2021-01-23 12:00:00,737.0,19.0,80.0,0.0,6.0,38.0,9.0,2.0,28.6,7.2,48.0,0.0,1220.0,0.0,12.0,8.0,3.0,13.0,108.0,0.0,0.0,64.0,890.0,0.0,60.0,0.0,0.0,0.0,2906.0271497950002,807.4040497950001,47.61508484535182,0.2617237001121566,16.384915,2.738276,2.0,47.61508484535182,45.615085,1.0961189955400261,0.0367086,
