Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2020-11-12 09:00:00,777.0,19.0,140.0,0.0,17.0,32.0,13.0,11.0,20.9,9.9,35.0,10.0,1140.0,0.0,20.0,7.0,13.0,6.0,28.0,7.0,21.0,50.0,940.0,910.0,17.0,17.0,0.0,0.0,2150.915099795,1072.183599795,35.11309738715238,9.494291351226025,14.886903,3.505709,11.0,35.11309738715238,24.113097,1.3312519932180908,0.0587736,
2020-11-23 14:00:00,777.0,19.0,28.0,0.0,12.0,35.0,12.0,5.0,22.7,8.4,38.0,5.0,480.0,0.0,20.0,7.0,10.0,7.0,42.0,0.0,0.0,54.0,940.0,910.0,60.0,0.0,0.0,0.0,2327.434799795,925.083849795,38.30363455847197,4.610211269363276,15.696365,5.389789,5.0,38.30363455847197,33.303635,1.2661229354432864,0.0115687,
2020-11-23 15:00:00,777.0,19.0,28.0,1.0,12.0,38.0,13.0,8.0,26.8,8.9,45.0,7.0,1120.0,0.0,20.0,7.0,10.0,8.0,57.0,0.0,0.0,67.0,940.0,910.0,60.0,5.0,0.0,2.0,2729.507449795,974.1170997950001,44.937479651873446,6.299359427382285,22.06252,3.700641,8.0,44.937479651873446,36.93748,1.1214422108310598,0.0440146,
2020-11-23 16:00:00,777.0,19.0,28.0,0.0,12.0,23.0,12.0,9.0,23.2,9.5,39.0,9.0,1540.0,0.0,20.0,7.0,10.0,7.0,39.0,0.0,0.0,51.0,940.0,910.0,60.0,0.0,0.0,0.0,2376.468049795,1032.956999795,39.15724672182836,8.243829250455633,11.842753,1.756171,9.0,39.15724672182836,30.157247,1.1104677623950854,0.0244609,
2020-11-24 13:00:00,777.0,19.0,28.0,0.0,11.0,33.0,11.0,8.0,22.1,8.9,37.0,7.0,660.0,0.0,20.0,7.0,11.0,6.0,35.0,0.0,0.0,56.0,940.0,910.0,60.0,0.0,0.0,0.0,2268.5948997950004,974.1170997950001,37.26111536149989,6.299359427382285,18.738885,4.700641,8.0,37.26111536149989,29.261115,1.114237327592653,0.0549271,
2020-11-24 14:00:00,777.0,19.0,28.0,1.0,11.0,33.0,12.0,8.0,22.7,8.9,38.0,7.0,620.0,0.0,20.0,7.0,10.0,7.0,36.0,0.0,0.0,58.0,940.0,910.0,60.0,6.0,0.0,2.0,2327.434799795,974.1170997950001,38.30363455847197,6.299359427382285,19.696365,3.700641,8.0,38.30363455847197,30.303635,1.1098754978976662,0.0531379,
2020-11-24 15:00:00,777.0,19.0,28.0,0.0,11.0,34.0,12.0,8.0,22.1,9.2,37.0,8.0,500.0,0.0,20.0,7.0,10.0,6.0,32.0,0.0,0.0,50.0,940.0,910.0,60.0,0.0,0.0,0.0,2268.5948997950004,1003.5370497949999,37.26111536149989,7.2823232153630215,12.738885,2.717677,8.0,37.26111536149989,29.261115,1.114237327592653,0.0239395,
2020-11-24 16:00:00,777.0,19.0,28.0,0.0,10.0,34.0,11.0,7.0,22.1,8.9,37.0,7.0,580.0,0.0,20.0,7.0,10.0,7.0,38.0,0.0,0.0,58.0,940.0,910.0,60.0,0.0,0.0,0.0,2268.5948997950004,974.1170997950001,37.26111536149989,6.299359427382285,20.738885,3.700641,7.0,37.26111536149989,30.261115,1.1100468413972866,0.0226292,
2020-11-24 21:00:00,777.0,19.0,28.0,0.0,11.0,26.0,10.0,8.0,23.8,9.2,40.0,8.0,1340.0,0.0,20.0,7.0,11.0,7.0,41.0,0.0,0.0,56.0,940.0,910.0,60.0,0.0,0.0,0.0,2435.3079497950002,1003.5370497949999,40.164114470573566,7.2823232153630215,15.835886,3.717677,8.0,40.164114470573566,32.164114,1.1028661279070693,0.021826,
2020-11-24 22:00:00,777.0,19.0,28.0,1.0,11.0,34.0,12.0,8.0,22.1,8.9,37.0,7.0,620.0,0.0,20.0,7.0,11.0,6.0,38.0,0.0,0.0,58.0,940.0,910.0,60.0,6.0,0.0,2.0,2268.5948997950004,974.1170997950001,37.26111536149989,6.299359427382285,20.738885,4.700641,8.0,37.26111536149989,29.261115,1.114237327592653,0.0549271,
