Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,DefrostN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-05-08 08:00:00,460.0,4.0,14.2,26.0,26.0,28.0,16.0,22.7,8.7,38.0,6.0,3000.0,40.0,10.0,5.0,17.0,8.0,28.0,67.0,560.0,0.0,60.0,0.0,0.0,2327.434799795,954.503799795,299.15,38.30363455847197,5.631561393210063,38.42244832251032,38.30363455847197,1.803186649623992,1.2819850471480865,26.0,1.2100453678935872,1.9078587021879516,17.059699852051033,0.111834,28.696365,11.368439,12.303635,1.0000000358859837,,0.111834
2020-05-08 09:00:00,460.0,4.0,14.2,25.0,25.0,26.0,15.0,22.1,8.4,37.0,5.0,3000.0,40.0,10.0,5.0,18.0,8.0,26.0,65.0,560.0,0.0,20.0,0.0,0.0,2268.5948997950004,925.083849795,298.15,37.26111536149989,4.610211269363276,37.38021791494248,37.26111536149989,1.8056809708242858,1.2760504955057508,25.0,1.204664598297019,1.8931787228632075,17.32445402489394,0.109278,27.738885,13.389789,12.261115,0.9999999705165575,,0.109278
2020-05-12 08:00:00,460.0,4.0,7.1,30.0,30.0,29.0,16.0,22.1,8.2,37.0,4.0,3000.0,40.0,10.0,5.0,29.0,8.0,15.0,52.0,560.0,0.0,17.0,3.0,0.0,2268.5948997950004,905.4705497949999,303.15,37.26111536149989,3.9156327252940173,37.38021791494248,37.26111536149989,1.8056809708242858,1.2760504955057508,30.0,1.2331957144717534,1.2734266024077294,17.692323989335396,0.071976,14.738885,25.084367,7.261115,0.9999999502142755,,0.071976
