Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2023-02-07 12:00:00,276314.0,19.0,2.2,1.0,6.0,7.0,7.0,15.0,26.1,8.8,44.0,6.0,0.0,0.0,22.0,0.0,8.0,0.0,0.0,33.0,0.0,0.0,43.0,2.0,2660.860899795,964.3104497950001,43.860214256773986,5.966739086090115,0.0,2.033261,15.0,43.860214256773986,28.860214,0.7622834304176264,0.2383857,
2023-02-07 13:00:00,276314.0,19.0,2.2,1.0,8.0,8.0,8.0,18.0,24.8,9.1,42.0,7.0,0.0,0.0,22.0,0.0,11.0,0.0,0.0,42.0,0.0,0.0,16.0,2.0,2533.374449795,993.7303997949999,41.80187239578936,6.957108039027219,0.198128,4.042892,18.0,41.80187239578936,23.801872,0.7041583886626634,0.3169168,
2023-02-07 14:00:00,276314.0,19.0,4.4,0.0,7.0,6.0,7.0,39.0,26.1,8.5,44.0,5.0,480.0,0.0,22.0,7.0,7.0,23.0,13.0,60.0,1140.0,1110.0,26.0,1.0,2660.860899795,934.890499795,43.860214256773986,4.953346153678808,16.139786,2.046654,39.0,43.860214256773986,4.860214,0.1318552834810724,0.8750808,
2023-02-07 15:00:00,276314.0,19.0,2.2,1.0,8.0,8.0,8.0,16.0,25.4,9.1,43.0,7.0,0.0,0.0,22.0,0.0,11.0,0.0,0.0,36.0,0.0,0.0,37.0,3.0,2592.214349795,993.7303997949999,42.761473022193854,6.957108039027219,0.0,4.042892,16.0,42.761473022193854,26.761473,0.7698601547441282,0.252564,
2023-02-07 16:00:00,276314.0,19.0,151.2,0.0,7.0,7.0,4.0,31.0,26.1,7.1,44.0,0.0,820.0,0.0,22.0,7.0,3.0,21.0,52.0,69.0,1140.0,1110.0,32.0,1.0,2660.860899795,797.597399795,43.860214256773986,-0.12177954365989763,25.139786,3.12178,31.0,43.860214256773986,12.860214,0.34889146086926537,0.7076027,
2023-02-07 17:00:00,276314.0,19.0,98.0,0.0,8.0,9.0,6.0,37.0,25.4,8.2,43.0,4.0,1060.0,0.0,22.0,7.0,4.0,20.0,32.0,61.0,1140.0,1110.0,38.0,0.0,2592.214349795,905.4705497949999,42.761473022193854,3.9156327252940173,18.238527,0.084367,37.0,42.761473022193854,5.761473,0.16574306262342572,0.8516837,
2023-02-08 08:00:00,276314.0,19.0,32.8,0.0,7.0,5.0,6.0,38.0,26.1,7.9,44.0,3.0,540.0,0.0,22.0,7.0,7.0,21.0,22.0,60.0,1140.0,1110.0,33.0,1.0,2660.860899795,876.050599795,43.860214256773986,2.852183332954155,16.139786,4.147817,38.0,43.860214256773986,5.860214,0.15898480565459652,0.8570959,
2023-02-08 09:00:00,276314.0,19.0,32.8,0.0,6.0,8.0,7.0,38.0,26.1,8.8,44.0,6.0,720.0,0.0,22.0,7.0,6.0,21.0,20.0,59.0,1140.0,1110.0,60.0,0.0,2660.860899795,964.3104497950001,43.860214256773986,5.966739086090115,15.139786,0.033261,38.0,43.860214256773986,5.860214,0.15478554770596642,0.8453503,
2023-02-08 10:00:00,276314.0,19.0,32.8,1.0,7.0,5.0,7.0,39.0,26.1,8.2,44.0,4.0,300.0,0.0,22.0,7.0,6.0,21.0,18.0,56.0,1140.0,1110.0,56.0,2.0,2660.860899795,905.4705497949999,43.860214256773986,3.9156327252940173,12.139786,2.084367,39.0,43.860214256773986,4.860214,0.1318552834810724,0.8783261,
