Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,DefrostN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2021-01-23 10:00:00,730.0,19.0,14.0,7.0,23.0,8.0,6.0,27.4,8.4,46.0,5.0,1840.0,0.0,20.0,7.0,7.0,8.0,49.0,0.0,0.0,64.0,940.0,910.0,29.0,0.0,0.0,0.0,0.0,2788.347349795,925.083849795,45.84443855943209,4.610211269363276,18.155561,2.389789,6.0,45.84443855943209,39.844439,1.025743722335899,0.0337047,
2021-01-23 13:00:00,730.0,19.0,12.5,7.0,19.0,5.0,-5.0,28.0,5.2,47.0,-8.0,1760.0,0.0,20.0,8.0,6.0,8.0,33.0,11.0,24.0,75.0,1360.0,1180.0,18.0,17.0,0.0,1.0,1.0,2847.1872497950003,611.2710497950001,46.73680772378418,-8.194839855873624,28.263192,14.19484,-5.0,46.73680772378418,51.736808,1.3019870232060264,0.0581603,
2021-01-23 15:00:00,730.0,19.0,14.0,7.0,28.0,7.0,4.0,28.0,7.9,47.0,3.0,1160.0,0.0,20.0,7.0,8.0,9.0,45.0,0.0,0.0,74.0,1140.0,1110.0,46.0,0.0,2.0,0.0,0.0,2847.1872497950003,876.050599795,46.73680772378418,2.852183332954155,27.263192,5.147817,4.0,46.73680772378418,42.736808,1.075496761014856,0.0261553,
2021-01-23 16:00:00,730.0,19.0,14.0,7.0,24.0,8.0,5.0,27.4,8.4,46.0,5.0,1560.0,0.0,20.0,7.0,7.0,8.0,46.0,0.0,0.0,69.0,940.0,910.0,30.0,0.0,0.0,0.0,0.0,2788.347349795,925.083849795,45.84443855943209,4.610211269363276,23.155561,2.389789,5.0,45.84443855943209,40.844439,1.051487433329945,0.009453,
2021-01-24 10:00:00,730.0,19.0,14.0,6.0,16.0,6.0,4.0,27.4,7.9,46.0,3.0,2840.0,0.0,20.0,7.0,7.0,8.0,48.0,0.0,0.0,67.0,1140.0,1110.0,60.0,0.0,0.0,0.0,0.0,2788.347349795,876.050599795,45.84443855943209,2.852183332954155,21.155561,4.147817,4.0,45.84443855943209,41.844439,1.0501952220404538,0.0266982,
2021-01-24 11:00:00,730.0,19.0,14.0,7.0,26.0,8.0,5.0,27.4,8.2,46.0,4.0,1360.0,0.0,20.0,7.0,7.0,8.0,45.0,0.0,0.0,66.0,940.0,910.0,24.0,0.0,0.0,0.0,0.0,2788.347349795,905.4705497949999,45.84443855943209,3.9156327252940173,20.155561,3.084367,5.0,45.84443855943209,40.844439,1.051487433329945,0.0258621,
2021-01-25 09:00:00,730.0,19.0,7.1,11.0,19.0,11.0,9.0,27.4,9.2,46.0,8.0,2680.0,0.0,20.0,7.0,12.0,8.0,40.0,0.0,0.0,64.0,940.0,910.0,52.0,16.0,2.0,4.0,1.0,2788.347349795,1003.5370497949999,45.84443855943209,7.2823232153630215,18.155561,4.717677,9.0,45.84443855943209,36.844439,1.057397981521689,0.0445431,
2021-01-27 09:00:00,730.0,19.0,7.1,7.0,22.0,3.0,-17.0,22.1,2.8,37.0,-22.0,1280.0,0.0,20.0,8.0,5.0,7.0,56.0,9.0,40.0,53.0,1360.0,1180.0,33.0,22.0,6.0,10.0,0.0,2268.5948997950004,375.911449795,37.26111536149989,-21.682001126406504,15.738885,26.682001,-17.0,37.26111536149989,54.261115,1.793096994337308,0.0794325,
2021-01-27 11:00:00,730.0,19.0,19.6,7.0,12.0,5.0,-2.0,27.4,6.0,46.0,-5.0,3000.0,0.0,20.0,8.0,6.0,8.0,44.0,11.0,32.0,80.0,1360.0,1180.0,53.0,50.0,0.0,2.0,1.0,2788.347349795,689.724249795,45.84443855943209,-4.595461408315032,34.155561,10.595461,-2.0,45.84443855943209,47.844439,1.2316934102882677,0.0514565,
2021-01-27 13:00:00,730.0,19.0,7.1,7.0,17.0,6.0,0.0,26.8,7.0,45.0,-1.0,3000.0,0.0,20.0,8.0,7.0,8.0,45.0,11.0,33.0,78.0,1360.0,1180.0,60.0,55.0,0.0,2.0,1.0,2729.507449795,787.790749795,44.937479651873446,-0.5088612562674939,33.06252,7.508861,0.0,44.937479651873446,44.93748,1.184514111437049,0.011197,
2021-01-27 14:00:00,730.0,19.0,7.1,7.0,16.0,5.0,-4.0,28.0,5.5,47.0,-7.0,3000.0,0.0,20.0,8.0,7.0,9.0,56.0,11.0,40.0,89.0,1360.0,1180.0,60.0,60.0,0.0,0.0,0.0,2847.1872497950003,640.690999795,46.73680772378418,-6.80612020230825,42.263192,13.80612,-4.0,46.73680772378418,50.736808,1.2768214385181185,0.0524088,
2021-01-27 15:00:00,730.0,19.0,7.1,8.0,18.0,7.0,1.0,26.8,7.2,45.0,0.0,3000.0,0.0,20.0,7.0,8.0,8.0,42.0,11.0,31.0,74.0,1140.0,1110.0,60.0,59.0,0.0,1.0,1.0,2729.507449795,807.4040497950001,44.937479651873446,0.2617237001121566,29.06252,7.738276,1.0,44.937479651873446,43.93748,1.189509420082253,0.0165252,
2021-01-27 16:00:00,730.0,19.0,14.2,7.0,17.0,5.0,-4.0,26.8,5.5,45.0,-7.0,3000.0,0.0,20.0,8.0,7.0,9.0,58.0,11.0,41.0,80.0,1360.0,1180.0,60.0,60.0,0.0,0.0,0.0,2729.507449795,640.690999795,44.937479651873446,-6.80612020230825,35.06252,13.80612,-4.0,44.937479651873446,48.93748,1.289950741300321,0.0542313,
2021-01-27 17:00:00,730.0,19.0,14.2,7.0,17.0,6.0,0.0,27.4,6.7,46.0,-2.0,3000.0,0.0,20.0,8.0,7.0,8.0,46.0,11.0,34.0,77.0,1360.0,1180.0,60.0,52.0,0.0,2.0,1.0,2788.347349795,758.3707997950002,45.84443855943209,-1.6923850735155952,31.155561,8.692385,0.0,45.84443855943209,45.844439,1.1802059883001756,0.0356016,
2021-01-27 18:00:00,730.0,19.0,7.1,8.0,18.0,8.0,6.0,28.0,8.7,47.0,6.0,2300.0,0.0,20.0,7.0,8.0,8.0,42.0,0.0,0.0,66.0,940.0,910.0,29.0,0.0,0.0,0.0,0.0,2847.1872497950003,954.503799795,46.73680772378418,5.631561393210063,19.263192,2.368439,6.0,46.73680772378418,40.736808,1.0516304877386122,0.0089633,
2021-01-28 09:00:00,730.0,19.0,7.1,6.0,15.0,3.0,-12.0,26.2,3.8,44.0,-15.0,3000.0,0.0,20.0,8.0,5.0,8.0,66.0,10.0,46.0,66.0,1360.0,1180.0,33.0,23.0,1.0,2.0,0.0,2670.667549795,473.9779497950001,44.01540253572364,-15.44463255276861,21.984597,20.444633,-12.0,44.01540253572364,56.015403,1.473492302162564,0.0579319,
2021-01-28 10:00:00,730.0,19.0,14.0,8.0,9.0,4.0,-5.0,27.4,5.5,46.0,-7.0,3000.0,0.0,20.0,8.0,7.0,8.0,36.0,11.0,26.0,74.0,1360.0,1180.0,60.0,5.0,0.0,0.0,0.0,2788.347349795,640.690999795,45.84443855943209,-6.80612020230825,28.155561,13.80612,-5.0,45.84443855943209,50.844439,1.3435115154410946,0.0343039,
2021-01-28 12:00:00,730.0,19.0,12.5,8.0,29.0,7.0,-6.0,23.2,5.0,39.0,-9.0,700.0,0.0,20.0,8.0,7.0,7.0,36.0,9.0,26.0,68.0,1360.0,1180.0,60.0,58.0,0.0,2.0,1.0,2376.468049795,591.657749795,39.15724672182836,-9.149105872811162,28.842753,16.149106,-6.0,39.15724672182836,45.157247,1.4493336783947417,0.0651903,
2021-01-28 13:00:00,730.0,19.0,26.5,7.0,16.0,4.0,-6.0,25.0,4.7,42.0,-10.0,3000.0,0.0,20.0,8.0,6.0,8.0,66.0,10.0,46.0,79.0,1360.0,1180.0,60.0,29.0,0.0,0.0,0.0,2552.987749795,562.2377997950001,42.123610354308255,-10.626624660909101,36.87639,16.626625,-6.0,42.123610354308255,48.12361,1.3701213945421522,0.0877081,
2021-01-28 14:00:00,730.0,19.0,26.5,8.0,20.0,8.0,6.0,26.2,8.4,44.0,5.0,2320.0,0.0,20.0,7.0,7.0,8.0,61.0,0.0,0.0,66.0,940.0,910.0,55.0,41.0,1.0,2.0,0.0,2670.667549795,925.083849795,44.01540253572364,4.610211269363276,21.984597,2.389789,6.0,44.01540253572364,38.015403,1.055531809266676,0.0352692,
2021-01-28 15:00:00,730.0,19.0,26.5,8.0,16.0,8.0,4.0,26.8,8.2,45.0,4.0,3000.0,0.0,20.0,7.0,9.0,8.0,27.0,11.0,21.0,69.0,940.0,910.0,60.0,11.0,0.0,0.0,0.0,2729.507449795,905.4705497949999,44.937479651873446,3.9156327252940173,24.06252,5.084367,4.0,44.937479651873446,40.93748,1.108291101229038,0.0020566,
2021-01-28 16:00:00,730.0,19.0,26.5,8.0,17.0,7.0,5.0,26.2,8.2,44.0,4.0,2900.0,0.0,20.0,7.0,8.0,8.0,62.0,0.0,0.0,67.0,940.0,910.0,55.0,22.0,1.0,3.0,1.0,2670.667549795,905.4705497949999,44.01540253572364,3.9156327252940173,22.984597,4.084367,5.0,44.01540253572364,39.015403,1.0832977074544887,0.0270417,
2021-01-28 17:00:00,730.0,19.0,33.6,5.0,26.0,3.0,-6.0,25.0,4.7,42.0,-10.0,3000.0,0.0,20.0,8.0,4.0,8.0,85.0,10.0,60.0,78.0,1360.0,1180.0,45.0,35.0,3.0,5.0,0.0,2552.987749795,562.2377997950001,42.123610354308255,-10.626624660909101,35.87639,14.626625,-6.0,42.123610354308255,48.12361,1.2963073779922694,0.0877081,
2021-01-28 18:00:00,730.0,19.0,26.5,6.0,31.0,3.0,-10.0,24.4,4.5,41.0,-11.0,700.0,0.0,20.0,8.0,4.0,8.0,48.0,10.0,35.0,76.0,1360.0,1180.0,57.0,44.0,1.0,1.0,0.0,2494.1478497949997,542.624499795,41.15266006868552,-11.644637966787798,34.84734,15.644638,-10.0,41.15266006868552,51.15266,1.455157586937994,0.03115,
2021-01-28 20:00:00,730.0,19.0,12.5,4.0,28.0,1.0,-9.0,26.2,4.5,44.0,-11.0,1360.0,0.0,20.0,8.0,2.0,8.0,54.0,10.0,39.0,80.0,1360.0,1180.0,46.0,25.0,3.0,5.0,1.0,2670.667549795,542.624499795,44.01540253572364,-11.644637966787798,35.984597,13.644638,-9.0,44.01540253572364,53.015403,1.3248749141701286,0.0475141,
2021-01-28 21:00:00,730.0,19.0,12.5,2.0,14.0,0.0,-16.0,20.9,3.0,35.0,-21.0,3000.0,0.0,20.0,8.0,1.0,7.0,75.0,9.0,53.0,65.0,1360.0,1180.0,36.0,31.0,3.0,5.0,0.0,2150.915099795,395.524749795,35.11309738715238,-20.342277661148245,29.886903,21.342278,-16.0,35.11309738715238,51.113097,1.543591540301859,0.0783022,
2021-01-29 09:00:00,730.0,19.0,7.1,3.0,13.0,2.0,-1.0,26.8,6.7,45.0,-2.0,3000.0,0.0,20.0,8.0,3.0,8.0,28.0,11.0,21.0,68.0,1360.0,1180.0,60.0,57.0,0.0,2.0,1.0,2729.507449795,758.3707997950002,44.937479651873446,-1.6923850735155952,23.06252,4.692385,-1.0,44.937479651873446,45.93748,1.0953800843858739,0.0148485,
2021-01-29 10:00:00,730.0,19.0,7.1,3.0,14.0,2.0,-2.0,26.8,6.2,45.0,-4.0,3000.0,0.0,20.0,8.0,3.0,8.0,45.0,10.0,33.0,75.0,1360.0,1180.0,60.0,60.0,0.0,0.0,0.0,2729.507449795,709.3375497950001,44.937479651873446,-3.744489872362294,30.06252,6.74449,-2.0,44.937479651873446,46.93748,1.1192251034070713,0.0358344,
2021-01-29 11:00:00,730.0,19.0,21.1,4.0,18.0,3.0,-1.0,26.8,6.5,45.0,-3.0,3000.0,0.0,20.0,8.0,4.0,8.0,53.0,10.0,38.0,76.0,1360.0,1180.0,51.0,43.0,2.0,3.0,1.0,2729.507449795,738.7574997950001,44.937479651873446,-2.5008259471920837,31.06252,6.500826,-1.0,44.937479651873446,45.93748,1.122137473792863,0.0316374,
2021-01-29 12:00:00,730.0,19.0,7.1,5.0,12.0,4.0,-4.0,26.2,5.5,44.0,-7.0,3000.0,0.0,20.0,8.0,5.0,8.0,42.0,10.0,31.0,70.0,1360.0,1180.0,52.0,50.0,1.0,2.0,0.0,2670.667549795,640.690999795,44.01540253572364,-6.80612020230825,25.984597,11.80612,-4.0,44.01540253572364,48.015403,1.2306781393844572,0.0552152,
2021-01-29 13:00:00,730.0,19.0,21.1,5.0,15.0,4.0,-3.0,27.4,5.7,46.0,-6.0,3000.0,0.0,20.0,8.0,5.0,8.0,54.0,11.0,39.0,82.0,1360.0,1180.0,51.0,43.0,2.0,3.0,0.0,2788.347349795,660.3042997950001,45.84443855943209,-5.906966194072766,36.155561,10.906966,-3.0,45.84443855943209,48.844439,1.1958651097364759,0.0561717,
2021-01-29 14:00:00,730.0,19.0,7.1,7.0,24.0,7.0,0.0,21.5,6.2,36.0,-4.0,500.0,0.0,20.0,8.0,7.0,7.0,37.0,9.0,27.0,70.0,1360.0,1180.0,57.0,46.0,1.0,2.0,1.0,2209.754999795,709.3375497950001,36.19792020308063,-3.744489872362294,33.80208,10.74449,0.0,36.19792020308063,36.19792,1.2397430963655012,0.0937472,
2021-01-29 15:00:00,730.0,19.0,14.0,4.0,14.0,2.0,-5.0,26.2,5.0,44.0,-9.0,3000.0,0.0,20.0,8.0,4.0,8.0,61.0,10.0,43.0,78.0,1360.0,1180.0,60.0,60.0,0.0,0.0,0.0,2670.667549795,591.657749795,44.01540253572364,-9.149105872811162,33.984597,13.149106,-5.0,44.01540253572364,49.015403,1.2249134056877633,0.0780428,
2021-01-29 16:00:00,730.0,19.0,14.0,5.0,16.0,4.0,-1.0,26.8,6.2,45.0,-4.0,3000.0,0.0,20.0,8.0,4.0,8.0,53.0,11.0,38.0,82.0,1360.0,1180.0,60.0,57.0,0.0,2.0,1.0,2729.507449795,709.3375497950001,44.937479651873446,-3.744489872362294,37.06252,7.74449,-1.0,44.937479651873446,45.93748,1.1502348270453542,0.0563759,
2021-01-29 17:00:00,730.0,19.0,14.0,4.0,16.0,1.0,-9.0,22.7,3.8,38.0,-15.0,3000.0,0.0,20.0,8.0,3.0,7.0,70.0,9.0,49.0,76.0,1360.0,1180.0,60.0,60.0,0.0,0.0,0.0,2327.434799795,473.9779497950001,38.30363455847197,-15.44463255276861,37.696365,18.444633,-9.0,38.30363455847197,47.303635,1.3789686022735868,0.119904,
2021-01-29 18:00:00,730.0,19.0,14.0,4.0,13.0,3.0,-1.0,27.4,6.5,46.0,-3.0,3000.0,0.0,20.0,8.0,4.0,8.0,40.0,11.0,29.0,75.0,1360.0,1180.0,57.0,50.0,1.0,3.0,1.0,2788.347349795,738.7574997950001,45.84443855943209,-2.5008259471920837,29.155561,6.500826,-1.0,45.84443855943209,46.844439,1.1194902025860942,0.0310439,
2021-01-29 20:00:00,730.0,19.0,21.1,3.0,17.0,2.0,-2.0,26.8,6.2,45.0,-4.0,3000.0,0.0,20.0,8.0,3.0,8.0,53.0,11.0,38.0,77.0,1360.0,1180.0,60.0,60.0,0.0,0.0,0.0,2729.507449795,709.3375497950001,44.937479651873446,-3.744489872362294,32.06252,6.74449,-2.0,44.937479651873446,46.93748,1.1192251034070713,0.0358344,
2021-01-29 21:00:00,730.0,19.0,7.1,2.0,14.0,2.0,-1.0,26.8,6.5,45.0,-3.0,3000.0,0.0,20.0,8.0,3.0,8.0,40.0,11.0,29.0,72.0,1360.0,1180.0,60.0,57.0,0.0,2.0,1.0,2729.507449795,738.7574997950001,44.937479651873446,-2.5008259471920837,27.06252,5.500826,-1.0,44.937479651873446,45.93748,1.069869036851949,0.0316374,
2021-01-29 22:00:00,730.0,19.0,7.1,2.0,14.0,2.0,-1.0,27.4,6.2,46.0,-4.0,3000.0,0.0,20.0,8.0,3.0,8.0,39.0,11.0,29.0,72.0,1360.0,1180.0,58.0,51.0,1.0,1.0,1.0,2788.347349795,709.3375497950001,45.84443855943209,-3.744489872362294,26.155561,6.74449,-1.0,45.84443855943209,46.844439,1.068423739455606,0.0553448,
2021-01-30 12:00:00,730.0,19.0,14.0,11.0,18.0,11.0,10.0,27.4,9.2,46.0,8.0,2860.0,0.0,20.0,7.0,12.0,8.0,41.0,0.0,0.0,64.0,940.0,910.0,42.0,2.0,3.0,2.0,0.0,2788.347349795,1003.5370497949999,45.84443855943209,7.2823232153630215,18.155561,4.717677,10.0,45.84443855943209,35.844439,1.0286989970827702,0.0704753,
2021-01-30 13:00:00,730.0,19.0,14.0,11.0,17.0,11.0,7.0,27.4,8.4,46.0,5.0,2320.0,0.0,20.0,7.0,12.0,8.0,42.0,0.0,0.0,72.0,940.0,910.0,60.0,0.0,0.0,0.0,0.0,2788.347349795,925.083849795,45.84443855943209,4.610211269363276,26.155561,7.389789,7.0,45.84443855943209,38.844439,1.1147959503995264,0.0579564,
2021-01-30 14:00:00,730.0,19.0,14.0,12.0,19.0,12.0,10.0,27.4,9.9,46.0,10.0,3000.0,0.0,20.0,7.0,13.0,8.0,40.0,0.0,0.0,64.0,940.0,910.0,60.0,11.0,0.0,2.0,1.0,2788.347349795,1072.183599795,45.84443855943209,9.494291351226025,18.155561,3.505709,10.0,45.84443855943209,35.844439,1.0590939169239233,0.0139121,
2021-01-30 15:00:00,730.0,19.0,14.0,13.0,24.0,13.0,9.0,28.0,9.2,47.0,8.0,1240.0,0.0,20.0,7.0,13.0,8.0,31.0,0.0,0.0,66.0,940.0,910.0,60.0,0.0,0.0,0.0,0.0,2847.1872497950003,1003.5370497949999,46.73680772378418,7.2823232153630215,19.263192,5.717677,9.0,46.73680772378418,37.736808,1.1185648716074537,0.0435357,
