Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2019-11-11 10:00:00,466.0,19.0,70.0,0.0,19.0,35.0,17.0,13.0,23.2,11.1,39.0,13.0,540.0,0.0,20.0,7.0,17.0,6.0,43.0,0.0,0.0,55.0,940.0,910.0,50.0,3.0,1.0,1.0,2376.468049795,1189.863399795,39.15724672182836,13.050117260841603,15.842753,3.949883,13.0,39.15724672182836,26.157247,1.297659713202509,0.0,
2019-11-12 02:00:00,466.0,19.0,70.0,0.0,19.0,38.0,16.0,12.0,25.6,10.3,43.0,11.0,740.0,0.0,20.0,7.0,15.0,8.0,66.0,0.0,0.0,62.0,940.0,910.0,60.0,34.0,0.0,1.0,2611.827649795,1111.4101997950002,43.07764542076404,10.710802812920974,18.922355,4.289197,12.0,43.07764542076404,31.077645,1.290726084586299,0.0398308,
2019-11-12 03:00:00,466.0,19.0,56.0,1.0,19.0,40.0,17.0,13.0,29.2,10.7,49.0,12.0,1200.0,0.0,20.0,7.0,15.0,9.0,33.0,11.0,24.0,70.0,940.0,910.0,60.0,12.0,0.0,2.0,2964.867049795,1150.636799795,48.47973917390766,11.895448307885943,21.520261,3.104552,13.0,48.47973917390766,35.479739,1.2035296103095412,0.030192,
2019-11-12 04:00:00,466.0,19.0,70.0,0.0,19.0,36.0,17.0,14.0,25.0,11.5,42.0,14.0,1000.0,0.0,20.0,7.0,15.0,7.0,52.0,0.0,0.0,56.0,940.0,910.0,60.0,0.0,0.0,0.0,2552.987749795,1229.089999795,42.123610354308255,14.176527939007542,13.87639,0.823472,14.0,42.123610354308255,28.12361,1.2162291947096477,0.0,
2019-11-12 05:00:00,466.0,19.0,70.0,1.0,20.0,40.0,17.0,13.0,28.0,10.7,47.0,12.0,940.0,0.0,20.0,7.0,16.0,8.0,64.0,0.0,0.0,70.0,940.0,910.0,60.0,6.0,0.0,2.0,2847.1872497950003,1150.636799795,46.73680772378418,11.895448307885943,23.263192,4.104552,13.0,46.73680772378418,33.736808,1.2618113706218133,0.0317023,
2019-11-12 06:00:00,466.0,19.0,56.0,0.0,19.0,34.0,17.0,13.0,24.4,11.1,41.0,13.0,1080.0,0.0,20.0,7.0,16.0,7.0,53.0,0.0,0.0,55.0,940.0,910.0,60.0,0.0,0.0,0.0,2494.1478497949997,1189.863399795,41.15266006868552,13.050117260841603,13.84734,2.949883,13.0,41.15266006868552,28.15266,1.2708478310374987,0.0,
2019-11-12 07:00:00,466.0,19.0,56.0,1.0,19.0,40.0,17.0,13.0,28.0,11.1,47.0,13.0,900.0,0.0,20.0,7.0,16.0,8.0,63.0,0.0,0.0,69.0,940.0,910.0,60.0,8.0,0.0,2.0,2847.1872497950003,1189.863399795,46.73680772378418,13.050117260841603,22.263192,2.949883,13.0,46.73680772378418,33.736808,1.2163190636776433,0.0,
2019-11-12 08:00:00,466.0,19.0,70.0,0.0,19.0,29.0,16.0,13.0,24.4,11.1,41.0,13.0,1660.0,0.0,20.0,7.0,17.0,7.0,50.0,0.0,0.0,54.0,940.0,910.0,60.0,0.0,0.0,0.0,2494.1478497949997,1189.863399795,41.15266006868552,13.050117260841603,12.84734,3.949883,13.0,41.15266006868552,28.15266,1.2708478310374987,0.0,
2019-11-12 09:00:00,466.0,19.0,56.0,1.0,18.0,37.0,17.0,12.0,27.4,10.3,46.0,11.0,820.0,0.0,20.0,7.0,16.0,8.0,50.0,0.0,0.0,66.0,940.0,910.0,60.0,9.0,0.0,2.0,2788.347349795,1111.4101997950002,45.84443855943209,10.710802812920974,20.155561,5.289197,12.0,45.84443855943209,33.844439,1.2154829025466363,0.0366941,
2019-11-12 10:00:00,466.0,19.0,70.0,0.0,20.0,27.0,16.0,12.0,23.2,10.7,39.0,12.0,2000.0,0.0,20.0,7.0,16.0,7.0,49.0,0.0,0.0,52.0,940.0,910.0,60.0,0.0,0.0,0.0,2376.468049795,1150.636799795,39.15724672182836,11.895448307885943,12.842753,4.104552,12.0,39.15724672182836,27.157247,1.4175965572890072,0.0038351,
2019-11-12 11:00:00,466.0,19.0,70.0,0.0,19.0,37.0,16.0,13.0,26.2,10.7,44.0,12.0,880.0,0.0,20.0,7.0,15.0,8.0,59.0,0.0,0.0,62.0,940.0,910.0,60.0,0.0,0.0,0.0,2670.667549795,1150.636799795,44.01540253572364,11.895448307885943,17.984597,3.104552,13.0,44.01540253572364,31.015403,1.239852245260014,0.0343883,
2019-11-12 12:00:00,466.0,19.0,70.0,1.0,19.0,40.0,17.0,13.0,28.6,11.1,48.0,13.0,780.0,0.0,20.0,7.0,16.0,8.0,50.0,0.0,0.0,70.0,940.0,910.0,60.0,6.0,0.0,2.0,2906.0271497950002,1189.863399795,47.61508484535182,13.050117260841603,22.384915,2.949883,13.0,47.61508484535182,34.615085,1.2096796213282175,0.0,
2019-11-12 13:00:00,466.0,19.0,56.0,0.0,20.0,36.0,16.0,13.0,25.0,10.7,42.0,12.0,860.0,0.0,20.0,7.0,16.0,7.0,52.0,0.0,0.0,57.0,940.0,910.0,60.0,0.0,0.0,0.0,2552.987749795,1150.636799795,42.123610354308255,11.895448307885943,14.87639,4.104552,13.0,42.123610354308255,29.12361,1.3164040377491368,0.0365405,
2019-11-12 14:00:00,466.0,19.0,70.0,1.0,19.0,40.0,17.0,13.0,27.4,11.1,46.0,13.0,820.0,0.0,20.0,7.0,14.0,8.0,58.0,0.0,0.0,69.0,940.0,910.0,60.0,7.0,0.0,2.0,2788.347349795,1189.863399795,45.84443855943209,13.050117260841603,23.155561,0.949883,13.0,45.84443855943209,32.844439,1.223509999186023,0.0,
2019-11-12 15:00:00,466.0,19.0,70.0,0.0,18.0,30.0,16.0,13.0,23.8,11.1,40.0,13.0,1140.0,0.0,20.0,7.0,15.0,7.0,45.0,0.0,0.0,52.0,940.0,910.0,60.0,0.0,0.0,0.0,2435.3079497950002,1189.863399795,40.164114470573566,13.050117260841603,11.835886,1.949883,13.0,40.164114470573566,27.164114,1.2255898622101389,0.0,
2019-11-12 16:00:00,466.0,19.0,70.0,1.0,19.0,39.0,16.0,12.0,26.2,10.3,44.0,11.0,680.0,0.0,20.0,7.0,15.0,8.0,54.0,0.0,0.0,64.0,940.0,910.0,60.0,8.0,0.0,2.0,2670.667549795,1111.4101997950002,44.01540253572364,10.710802812920974,19.984597,4.289197,12.0,44.01540253572364,32.015403,1.2798276163767464,0.0387093,
2019-11-12 17:00:00,466.0,19.0,70.0,0.0,22.0,31.0,15.0,12.0,23.2,10.3,39.0,11.0,2120.0,0.0,20.0,7.0,16.0,7.0,61.0,0.0,0.0,59.0,940.0,910.0,60.0,0.0,0.0,0.0,2376.468049795,1111.4101997950002,39.15724672182836,10.710802812920974,19.842753,5.289197,12.0,39.15724672182836,27.157247,1.5828441148106307,0.0453202,
2019-11-12 18:00:00,466.0,19.0,70.0,0.0,18.0,38.0,16.0,13.0,25.6,11.1,43.0,13.0,740.0,0.0,20.0,7.0,15.0,7.0,50.0,0.0,0.0,60.0,940.0,910.0,60.0,0.0,0.0,0.0,2611.827649795,1189.863399795,43.07764542076404,13.050117260841603,16.922355,1.949883,13.0,43.07764542076404,30.077645,1.1993807431018229,0.0,
2019-11-12 19:00:00,466.0,19.0,56.0,1.0,19.0,41.0,17.0,13.0,28.6,10.7,48.0,12.0,780.0,0.0,20.0,7.0,15.0,8.0,55.0,0.0,0.0,70.0,940.0,910.0,60.0,7.0,0.0,2.0,2906.0271497950002,1150.636799795,47.61508484535182,11.895448307885943,22.384915,3.104552,13.0,47.61508484535182,34.615085,1.2096796213282175,0.0309228,
2019-11-12 20:00:00,466.0,19.0,70.0,0.0,18.0,34.0,16.0,13.0,24.4,10.7,41.0,12.0,860.0,0.0,20.0,7.0,16.0,7.0,45.0,0.0,0.0,57.0,940.0,910.0,60.0,0.0,0.0,0.0,2494.1478497949997,1150.636799795,41.15266006868552,11.895448307885943,15.84734,4.104552,13.0,41.15266006868552,28.15266,1.2159579036050847,0.0377531,
2019-11-12 21:00:00,466.0,19.0,56.0,1.0,18.0,41.0,16.0,12.0,28.6,10.7,48.0,12.0,840.0,0.0,20.0,7.0,16.0,8.0,58.0,0.0,0.0,70.0,940.0,910.0,60.0,8.0,0.0,2.0,2906.0271497950002,1150.636799795,47.61508484535182,11.895448307885943,22.384915,4.104552,12.0,47.61508484535182,35.615085,1.2025994585522826,0.002927,
2019-11-12 22:00:00,466.0,19.0,56.0,0.0,18.0,24.0,16.0,12.0,23.8,10.3,40.0,11.0,1520.0,0.0,20.0,7.0,16.0,7.0,42.0,0.0,0.0,53.0,940.0,910.0,60.0,0.0,0.0,0.0,2435.3079497950002,1111.4101997950002,40.164114470573566,10.710802812920974,12.835886,5.289197,12.0,40.164114470573566,28.164114,1.270707838898432,0.0437709,
2019-11-12 23:00:00,466.0,19.0,70.0,0.0,17.0,38.0,16.0,12.0,26.8,10.7,45.0,12.0,800.0,0.0,20.0,7.0,15.0,8.0,55.0,0.0,0.0,65.0,940.0,910.0,60.0,0.0,0.0,0.0,2729.507449795,1150.636799795,44.937479651873446,11.895448307885943,20.06252,3.104552,12.0,44.937479651873446,32.93748,1.1789710600394572,0.0031642,
2019-11-13 01:00:00,466.0,19.0,70.0,0.0,16.0,37.0,15.0,12.0,25.6,10.3,43.0,11.0,760.0,0.0,20.0,7.0,14.0,7.0,54.0,0.0,0.0,61.0,940.0,910.0,60.0,0.0,0.0,0.0,2611.827649795,1111.4101997950002,43.07764542076404,10.710802812920974,17.922355,3.289197,12.0,43.07764542076404,31.077645,1.147723316303146,0.0398308,
2019-11-13 02:00:00,466.0,19.0,56.0,1.0,17.0,40.0,16.0,11.0,29.2,9.9,49.0,10.0,780.0,0.0,20.0,7.0,15.0,9.0,56.0,0.0,0.0,72.0,940.0,910.0,60.0,6.0,0.0,2.0,2964.867049795,1072.183599795,48.47973917390766,9.494291351226025,23.520261,5.505709,11.0,48.47973917390766,37.479739,1.1905987782473595,0.0386223,
2019-11-13 03:00:00,466.0,19.0,70.0,0.0,18.0,27.0,16.0,13.0,23.8,11.1,40.0,13.0,1320.0,0.0,20.0,7.0,16.0,7.0,39.0,0.0,0.0,53.0,940.0,910.0,60.0,0.0,0.0,0.0,2435.3079497950002,1189.863399795,40.164114470573566,13.050117260841603,12.835886,2.949883,13.0,40.164114470573566,27.164114,1.2255898622101389,0.0,
2019-11-13 04:00:00,466.0,19.0,70.0,0.0,19.0,36.0,17.0,14.0,23.2,11.5,39.0,14.0,480.0,0.0,20.0,7.0,16.0,6.0,39.0,0.0,0.0,56.0,940.0,910.0,60.0,0.0,0.0,0.0,2376.468049795,1229.089999795,39.15724672182836,14.176527939007542,16.842753,1.823472,14.0,39.15724672182836,25.157247,1.2480497633021044,0.0,
2019-11-13 05:00:00,466.0,19.0,70.0,1.0,19.0,37.0,18.0,14.0,26.2,11.5,44.0,14.0,820.0,0.0,20.0,7.0,17.0,7.0,46.0,0.0,0.0,64.0,940.0,910.0,60.0,8.0,0.0,2.0,2670.667549795,1229.089999795,44.01540253572364,14.176527939007542,19.984597,2.823472,14.0,44.01540253572364,30.015403,1.1998768741432817,0.0,
