Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-06-27 07:00:00,812.0,4.0,36.4,0.0,29.0,33.0,33.0,25.0,20.3,9.2,34.0,8.0,3000.0,20.0,22.0,5.0,19.0,14.0,20.0,61.0,550.0,520.0,55.0,0.0,2092.075199795,1003.5370497949999,306.15,34.00562152346981,7.2823232153630215,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,33.0,1.2516973200105994,0.15627422266068264,14.87926789990279,0.010503,26.994378,11.717677,1.005622,0.20089852884101386,,0.010503
2020-06-27 08:00:00,812.0,4.0,25.2,0.0,32.0,31.0,30.0,28.0,18.5,8.9,31.0,7.0,0.0,0.0,22.0,0.0,27.0,0.0,0.0,57.0,0.0,0.0,52.0,1.0,1915.555499795,974.1170997950001,304.15,30.535742932427354,6.299359427382285,30.65522862642274,30.535742932427354,1.8208482321526007,1.2382445122927048,31.0,1.8226128303685134,-14.298623225949575,14.155013590886156,0.0,26.464257,20.700641,-0.464257,0.0,,0.0
2020-06-27 09:00:00,812.0,4.0,39.2,0.0,29.0,33.0,33.0,25.0,20.9,9.2,35.0,8.0,3000.0,20.0,22.0,5.0,19.0,14.0,21.0,63.0,550.0,520.0,60.0,0.0,2150.915099795,1003.5370497949999,306.15,35.11309738715238,7.2823232153630215,35.23258562275021,35.11309738715238,1.8106871371311621,1.2638926568350608,33.0,1.2513449983707323,0.3359538369475408,15.250381453344328,0.022029,27.886903,11.717677,2.113097,0.34566715793551733,,0.022029
2020-06-27 10:00:00,812.0,4.0,28.0,0.0,28.0,32.0,31.0,24.0,19.7,9.2,33.0,8.0,3000.0,20.0,22.0,5.0,19.0,13.0,15.0,61.0,550.0,520.0,54.0,1.0,2033.235299795,1003.5370497949999,305.15,32.874385646879205,7.2823232153630215,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,32.0,1.2461540677770662,0.12967208419706788,14.478581109593897,0.008956,28.125614,11.717677,0.874386,0.17938383692718696,,0.008956
2020-06-28 01:00:00,812.0,4.0,67.2,0.0,26.0,32.0,31.0,26.0,20.3,9.5,34.0,9.0,3000.0,40.0,22.0,5.0,15.0,14.0,27.0,65.0,550.0,520.0,42.0,0.0,2092.075199795,1032.956999795,305.15,34.00562152346981,8.243829250455633,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,32.0,1.2458113839672436,0.29329342185052604,14.345106027269507,0.020446,30.994378,6.756171,2.005622,0.2505267072794017,,0.020446
2020-06-28 04:00:00,812.0,4.0,14.0,0.0,30.0,30.0,30.0,27.0,17.3,9.2,29.0,8.0,0.0,0.0,22.0,0.0,27.0,0.0,0.0,50.0,0.0,0.0,20.0,3.0,1797.8756997950002,1003.5370497949999,303.15,28.086306441838985,7.2823232153630215,28.2053975278115,28.086306441838985,1.8260537980259717,1.2246353673059887,30.0,1.8348385545067456,-13.278527825524424,12.547710731811188,0.0,21.913694,19.717677,-1.913694,0.0,,0.0
2020-06-28 05:00:00,812.0,4.0,14.0,0.0,30.0,31.0,30.0,27.0,17.9,9.5,30.0,9.0,0.0,0.0,22.0,0.0,24.0,0.0,0.0,55.0,0.0,0.0,13.0,3.0,1856.715599795,1032.956999795,304.15,29.32562674788005,8.243829250455633,29.444948373104012,29.32562674788005,1.823437657026575,1.23151240942895,31.0,1.831169475698546,-13.1438737150985,12.514162944743159,0.0,25.674373,15.756171,-1.674373,0.0,,0.0
2020-06-28 07:00:00,812.0,4.0,35.1,0.0,27.0,33.0,32.0,24.0,19.7,9.2,33.0,8.0,3000.0,20.0,22.0,5.0,20.0,13.0,20.0,61.0,550.0,520.0,60.0,0.0,2033.235299795,1003.5370497949999,306.15,32.874385646879205,7.2823232153630215,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,33.0,1.8157668429685554,-14.481091915651668,14.478581109593897,0.0,28.125614,12.717677,-0.125614,-0.021383342455007705,,0.0
2020-06-28 08:00:00,812.0,4.0,14.0,0.0,29.0,33.0,32.0,25.0,19.7,9.5,33.0,9.0,3000.0,20.0,22.0,5.0,19.0,13.0,18.0,61.0,550.0,520.0,60.0,0.0,2033.235299795,1032.956999795,306.15,32.874385646879205,8.243829250455633,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,33.0,1.8157668429685554,-13.938362309758583,13.935882169251293,0.0,28.125614,10.756171,-0.125614,-0.03242165634729247,,0.0
2020-06-28 10:00:00,812.0,4.0,14.0,0.0,27.0,31.0,30.0,22.0,18.5,9.2,31.0,8.0,3000.0,20.0,22.0,5.0,20.0,12.0,16.0,57.0,550.0,520.0,10.0,2.0,1915.555499795,1003.5370497949999,304.15,30.535742932427354,7.2823232153630215,30.65522862642274,30.535742932427354,1.8208482321526007,1.2382445122927048,31.0,1.8226128303685134,-13.724210330437845,13.582335231521006,0.0,26.464257,12.717677,-0.464257,-0.13130394626321965,,0.0
2020-06-28 12:00:00,812.0,4.0,14.0,0.0,27.0,28.0,28.0,23.0,17.0,7.2,28.0,0.0,0.0,0.0,22.0,0.0,26.0,0.0,0.0,56.0,0.0,0.0,23.0,3.0,1768.455749795,807.4040497950001,301.15,27.45517600473056,0.2617237001121566,27.574126674992726,27.45517600473056,1.8273731277991279,1.221139483155882,28.0,1.8294791229927092,-16.708573997439835,16.521641650243986,0.0,28.544824,25.738276,-0.544824,-1.1969523752081486,,0.0
2020-06-28 14:00:00,812.0,4.0,7.1,0.0,26.0,32.0,31.0,28.0,19.1,9.2,32.0,8.0,3000.0,60.0,22.0,3.0,16.0,12.0,12.0,59.0,570.0,0.0,32.0,1.0,1974.3953997950002,1003.5370497949999,305.15,31.71819223503178,7.2823232153630215,31.83777614411059,31.71819223503178,1.8182818137018086,1.244840628798408,32.0,1.8191260402257317,-14.11408213766876,14.04682085404192,0.0,27.281808,8.717677,-0.281808,-0.049282708313571386,,0.0
2020-06-28 15:00:00,812.0,4.0,7.1,0.0,27.0,26.0,28.0,23.0,16.2,8.7,26.0,6.0,0.0,0.0,22.0,0.0,27.0,0.0,0.0,52.0,0.0,0.0,27.0,2.0,1690.002549795,954.503799795,299.15,25.732686308573705,5.631561393210063,25.851179653133784,25.732686308573705,1.8309330052523274,1.211618064113603,26.0,1.8316590868786218,-12.546394778565,12.485619343136358,0.0,26.267314,21.368439,-0.267314,0.0,,0.0
2020-06-28 16:00:00,812.0,4.0,7.1,0.0,26.0,33.0,31.0,16.0,20.3,9.2,34.0,8.0,3000.0,20.0,22.0,3.0,21.0,14.0,12.0,63.0,570.0,0.0,37.0,1.0,2092.075199795,1003.5370497949999,306.15,34.00562152346981,7.2823232153630215,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,33.0,1.2516973200105994,0.15627422266068264,14.87926789990279,0.010503,28.994378,13.717677,1.005622,0.12561448190522767,,0.010503
2020-06-28 17:00:00,812.0,4.0,7.1,0.0,27.0,29.0,30.0,21.0,17.0,8.9,28.0,7.0,0.0,0.0,22.0,0.0,24.0,0.0,0.0,59.0,0.0,0.0,23.0,2.0,1768.455749795,974.1170997950001,302.15,27.45517600473056,6.299359427382285,27.574126674992726,27.45517600473056,1.8273731277991279,1.221139483155882,29.0,1.8343394660052195,-13.446389386095925,12.861423738272741,0.0,31.544824,17.700641,-1.544824,-3.3939047400234807,,0.0
2020-06-28 18:00:00,812.0,4.0,7.1,0.0,26.0,28.0,25.0,22.0,17.9,7.2,30.0,0.0,3000.0,20.0,22.0,2.0,23.0,13.0,12.0,57.0,470.0,0.0,40.0,1.0,1856.715599795,807.4040497950001,301.15,29.32562674788005,0.2617237001121566,29.444948373104012,29.32562674788005,1.823437657026575,1.23151240942895,28.0,1.223826896105327,0.2182769530936187,17.238972748980597,0.012662,27.674373,22.738276,1.325627,0.3986096758588535,,0.012662
