Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2021-06-22 12:00:00,1184.0,4.0,14.0,0.0,35.0,34.0,34.0,33.0,20.3,9.2,34.0,8.0,0.0,0.0,18.0,0.0,36.0,0.0,0.0,47.0,0.0,0.0,39.0,2.0,2092.075199795,1003.5370497949999,307.15,34.00562152346981,7.2823232153630215,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,34.0,1.2576238859617923,0.0008934931979548043,14.87926789990279,6e-05,12.994378,28.717677,0.005622,0.0,,6e-05
2021-06-22 13:00:00,1184.0,4.0,21.1,0.0,33.0,36.0,36.0,25.0,23.2,9.5,39.0,9.0,3000.0,40.0,18.0,5.0,21.0,16.0,19.0,71.0,550.0,520.0,26.0,1.0,2376.468049795,1032.956999795,309.15,39.15724672182836,8.243829250455633,39.275771056543306,39.15724672182836,1.8011099726401756,1.2868624556915962,36.0,1.2677390198441696,0.5609820532688216,15.927623597460828,0.035221,31.842753,12.756171,3.157247,0.5127692851428364,,0.035221
2021-06-22 14:00:00,1184.0,4.0,14.0,0.0,36.0,35.0,35.0,34.0,20.3,9.2,34.0,8.0,0.0,0.0,18.0,0.0,36.0,0.0,0.0,49.0,0.0,0.0,34.0,2.0,2092.075199795,1003.5370497949999,308.15,34.00562152346981,7.2823232153630215,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,35.0,1.8178424311801584,-15.248511720911878,14.87926789990279,0.0,14.994378,28.717677,-0.994378,0.0,,0.0
2021-06-22 15:00:00,1184.0,4.0,21.1,0.0,34.0,37.0,37.0,25.0,22.7,9.2,38.0,8.0,3000.0,40.0,18.0,5.0,21.0,16.0,19.0,72.0,550.0,520.0,30.0,1.0,2327.434799795,1003.5370497949999,310.15,38.30363455847197,7.2823232153630215,38.42244832251032,38.30363455847197,1.803186649623992,1.2819850471480865,37.0,1.2740677375837044,0.2404446858173462,16.199320145038865,0.014843,33.696365,13.717677,1.303635,0.30291489258392407,,0.014843
2021-06-22 16:00:00,1184.0,4.0,35.1,0.0,38.0,35.0,35.0,32.0,20.3,9.9,34.0,10.0,0.0,0.0,18.0,0.0,34.0,0.0,0.0,52.0,0.0,0.0,30.0,2.0,2092.075199795,1072.183599795,308.15,34.00562152346981,9.494291351226025,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,35.0,1.8178424311801584,-14.009400114680334,13.65041545536881,0.0,17.994378,24.505709,-0.994378,0.0,,0.0
2021-06-22 17:00:00,1184.0,4.0,28.0,0.0,33.0,34.0,33.0,25.0,20.3,9.5,34.0,9.0,3000.0,20.0,18.0,5.0,21.0,13.0,12.0,68.0,550.0,520.0,36.0,1.0,2092.075199795,1032.956999795,307.15,34.00562152346981,8.243829250455633,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,34.0,1.2576238859617923,0.0008613418720983122,14.345106027269507,6e-05,33.994378,12.756171,0.005622,0.005590572465674521,,6e-05
2021-06-22 18:00:00,1184.0,4.0,28.0,0.0,33.0,31.0,32.0,31.0,17.9,8.9,30.0,7.0,0.0,0.0,18.0,0.0,27.0,0.0,0.0,53.0,0.0,0.0,27.0,2.0,1856.715599795,974.1170997950001,304.15,29.32562674788005,6.299359427382285,29.444948373104012,29.32562674788005,1.823437657026575,1.23151240942895,31.0,1.831169475698546,-14.309888784652426,13.66514372621196,0.0,23.674373,20.700641,-1.674373,0.0,,0.0
2021-06-22 19:00:00,1184.0,4.0,14.0,0.0,30.0,30.0,30.0,31.0,17.3,9.2,29.0,8.0,0.0,0.0,18.0,0.0,28.0,0.0,0.0,53.0,0.0,0.0,24.0,2.0,1797.8756997950002,1003.5370497949999,303.15,28.086306441838985,7.2823232153630215,28.2053975278115,28.086306441838985,1.8260537980259717,1.2246353673059887,30.0,1.8348385545067456,-13.278527825524424,12.547710731811188,0.0,24.913694,20.717677,-1.913694,0.0,,0.0
2021-06-22 20:00:00,1184.0,4.0,14.0,0.0,27.0,32.0,30.0,16.0,19.7,9.5,33.0,9.0,3000.0,20.0,18.0,3.0,21.0,13.0,12.0,66.0,570.0,0.0,40.0,1.0,2033.235299795,1032.956999795,305.15,32.874385646879205,8.243829250455633,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,32.0,1.2461540677770662,0.12471556907768573,13.935882169251293,0.008949,33.125614,12.756171,0.874386,0.1488472246394858,,0.008949
2021-06-22 21:00:00,1184.0,4.0,21.1,0.0,26.0,31.0,31.0,31.0,17.9,8.4,30.0,5.0,0.0,0.0,18.0,0.0,22.0,0.0,0.0,66.0,0.0,0.0,22.0,1.0,1856.715599795,925.083849795,304.15,29.32562674788005,4.610211269363276,29.444948373104012,29.32562674788005,1.823437657026575,1.23151240942895,31.0,1.831169475698546,-15.322798413584795,14.664993167876434,0.0,36.674373,17.389789,-1.674373,-0.5034759240697542,,0.0
