Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,DefrostN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2020-11-12 09:00:00,788.0,19.0,57.1,16.0,10.0,15.0,36.0,24.4,7.9,41.0,3.0,1240.0,0.0,22.0,8.0,13.0,18.0,47.0,52.0,1360.0,1180.0,18.0,0.0,0.0,2494.1478497949997,876.050599795,41.15266006868552,2.852183332954155,10.84734,10.147817,36.0,41.15266006868552,5.15266,0.20485546999519716,0.8654675,
2020-11-23 08:00:00,788.0,19.0,7.1,10.0,0.0,7.0,34.0,26.8,7.2,45.0,0.0,740.0,0.0,22.0,8.0,9.0,20.0,19.0,56.0,1360.0,1180.0,31.0,0.0,0.0,2729.507449795,807.4040497950001,44.937479651873446,0.2617237001121566,11.06252,8.738276,34.0,44.937479651873446,10.93748,0.31305864386853394,0.7551809,
2020-11-23 16:00:00,788.0,19.0,7.1,13.0,5.0,-2.0,50.0,31.6,6.0,52.0,-5.0,0.0,140.0,22.0,1.0,-3.0,25.0,12.0,68.0,380.0,0.0,52.0,4.0,1.0,3200.2266497950004,689.724249795,51.810629927179434,-4.595461408315032,16.18937,1.595461,50.0,51.810629927179434,1.81063,0.046652940274282934,0.9679001,
2020-11-23 17:00:00,788.0,19.0,7.1,12.0,10.0,12.0,35.0,26.2,9.5,44.0,9.0,300.0,0.0,22.0,7.0,10.0,19.0,13.0,62.0,940.0,910.0,2.0,0.0,0.0,2670.667549795,1032.956999795,44.01540253572364,8.243829250455633,17.984597,1.756171,35.0,44.01540253572364,9.015403,0.2815958034555515,0.747973,
2020-11-24 09:00:00,788.0,19.0,7.1,10.0,7.0,11.0,43.0,28.0,8.9,47.0,7.0,300.0,0.0,22.0,7.0,11.0,21.0,12.0,60.0,1140.0,1110.0,56.0,1.0,0.0,2847.1872497950003,974.1170997950001,46.73680772378418,6.299359427382285,13.263192,4.700641,43.0,46.73680772378418,3.736808,0.1017183645377198,0.9075904,
2020-11-24 10:00:00,788.0,19.0,7.1,11.0,8.0,11.0,46.0,28.6,8.9,48.0,7.0,240.0,0.0,22.0,7.0,11.0,21.0,12.0,61.0,1140.0,1110.0,57.0,1.0,0.0,2906.0271497950002,974.1170997950001,47.61508484535182,6.299359427382285,13.384915,4.700641,46.0,47.61508484535182,1.615085,0.04410982541270912,0.9609087,
2020-11-24 11:00:00,788.0,19.0,7.1,11.0,8.0,11.0,45.0,28.0,8.9,47.0,7.0,280.0,0.0,22.0,7.0,11.0,21.0,12.0,58.0,1140.0,1110.0,57.0,1.0,0.0,2847.1872497950003,974.1170997950001,46.73680772378418,6.299359427382285,11.263192,4.700641,45.0,46.73680772378418,1.736808,0.048599976064568555,0.9570495,
2020-11-24 12:00:00,788.0,19.0,7.1,11.0,0.0,11.0,46.0,29.2,7.2,49.0,0.0,280.0,0.0,22.0,8.0,11.0,23.0,12.0,65.0,1360.0,1180.0,36.0,2.0,0.0,2964.867049795,807.4040497950001,48.47973917390766,0.2617237001121566,16.520261,10.738276,46.0,48.47973917390766,2.479739,0.06616211997884779,0.9485724,
2020-11-24 13:00:00,788.0,19.0,7.1,12.0,6.0,10.0,37.0,26.8,8.4,45.0,5.0,500.0,0.0,22.0,8.0,11.0,20.0,12.0,58.0,1360.0,1180.0,56.0,1.0,0.0,2729.507449795,925.083849795,44.937479651873446,4.610211269363276,13.06252,6.389789,37.0,44.937479651873446,7.93748,0.24098625893340098,0.8031734,
2020-11-24 16:00:00,788.0,19.0,7.1,11.0,8.0,12.0,40.0,30.0,8.9,50.0,7.0,520.0,0.0,22.0,7.0,12.0,23.0,12.0,61.0,1140.0,1110.0,52.0,2.0,0.0,3043.320249795,974.1170997950001,49.61218254332624,6.299359427382285,11.387817,5.700641,40.0,49.61218254332624,9.612183,0.24894171649619368,0.7780754,
