Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2019-11-11 10:00:00,466.0,19.0,70.0,0.0,19.0,35.0,17.0,14.0,23.2,11.1,39.0,13.0,400.0,0.0,20.0,7.0,16.0,6.0,43.0,0.0,0.0,56.0,940.0,910.0,56.0,0.0,1.0,0.0,2376.468049795,1189.863399795,39.15724672182836,13.050117260841603,16.842753,2.949883,14.0,39.15724672182836,25.157247,1.2480497633021044,0.036384,
2019-11-12 02:00:00,466.0,19.0,70.0,0.0,18.0,38.0,16.0,12.0,25.6,10.3,43.0,11.0,580.0,0.0,20.0,7.0,14.0,8.0,66.0,0.0,0.0,62.0,940.0,910.0,60.0,34.0,0.0,1.0,2611.827649795,1111.4101997950002,43.07764542076404,10.710802812920974,18.922355,3.289197,12.0,43.07764542076404,31.077645,1.2392568950778775,0.0398308,
2019-11-12 03:00:00,466.0,19.0,56.0,1.0,18.0,40.0,16.0,13.0,30.0,10.3,50.0,11.0,940.0,0.0,20.0,7.0,15.0,9.0,29.0,11.0,22.0,70.0,940.0,910.0,60.0,11.0,0.0,2.0,3043.320249795,1111.4101997950002,49.61218254332624,10.710802812920974,20.387817,4.289197,13.0,49.61218254332624,36.612183,1.1581668854980507,0.0588462,
2019-11-12 04:00:00,466.0,19.0,70.0,0.0,19.0,36.0,17.0,14.0,25.0,11.1,42.0,13.0,700.0,0.0,20.0,7.0,14.0,7.0,53.0,0.0,0.0,57.0,940.0,910.0,60.0,0.0,0.0,0.0,2552.987749795,1189.863399795,42.123610354308255,13.050117260841603,14.87639,0.949883,14.0,42.123610354308255,28.12361,1.2162291947096477,0.0326718,
2019-11-12 05:00:00,466.0,19.0,70.0,1.0,18.0,40.0,17.0,13.0,28.0,10.7,47.0,12.0,680.0,0.0,20.0,7.0,15.0,8.0,65.0,0.0,0.0,69.0,940.0,910.0,60.0,6.0,0.0,2.0,2847.1872497950003,1150.636799795,46.73680772378418,11.895448307885943,22.263192,3.104552,13.0,46.73680772378418,33.736808,1.1739928917740414,0.0317023,
2019-11-12 06:00:00,466.0,19.0,56.0,0.0,18.0,34.0,17.0,14.0,24.4,10.7,41.0,12.0,760.0,0.0,20.0,7.0,14.0,7.0,52.0,0.0,0.0,55.0,940.0,910.0,60.0,0.0,0.0,0.0,2494.1478497949997,1150.636799795,41.15266006868552,11.895448307885943,13.84734,2.104552,14.0,41.15266006868552,27.15266,1.1727663222907405,0.0719327,
2019-11-12 07:00:00,466.0,19.0,56.0,1.0,18.0,40.0,17.0,13.0,28.6,10.7,48.0,12.0,620.0,0.0,20.0,7.0,15.0,8.0,63.0,0.0,0.0,68.0,940.0,910.0,60.0,8.0,0.0,2.0,2906.0271497950002,1150.636799795,47.61508484535182,11.895448307885943,20.384915,3.104552,13.0,47.61508484535182,34.615085,1.1688328829972254,0.0309228,
2019-11-12 08:00:00,466.0,19.0,70.0,0.0,18.0,29.0,16.0,14.0,24.4,11.1,41.0,13.0,1520.0,0.0,20.0,7.0,16.0,7.0,51.0,0.0,0.0,54.0,940.0,910.0,60.0,0.0,0.0,0.0,2494.1478497949997,1189.863399795,41.15266006868552,13.050117260841603,12.84734,2.949883,14.0,41.15266006868552,27.15266,1.1727663222907405,0.0338006,
2019-11-12 09:00:00,466.0,19.0,56.0,1.0,18.0,37.0,16.0,13.0,27.4,10.3,46.0,11.0,560.0,0.0,20.0,7.0,16.0,8.0,51.0,0.0,0.0,66.0,940.0,910.0,60.0,9.0,0.0,2.0,2788.347349795,1111.4101997950002,45.84443855943209,10.710802812920974,20.155561,5.289197,13.0,45.84443855943209,32.844439,1.1795690880926093,0.0651569,
2019-11-12 10:00:00,466.0,19.0,70.0,0.0,18.0,27.0,17.0,13.0,23.2,10.7,39.0,12.0,1940.0,0.0,20.0,7.0,16.0,7.0,49.0,0.0,0.0,53.0,940.0,910.0,60.0,0.0,0.0,0.0,2376.468049795,1150.636799795,39.15724672182836,11.895448307885943,13.842753,4.104552,13.0,39.15724672182836,26.157247,1.2363256591895317,0.0405165,
