Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-11-18 17:00:00,955.0,4.0,70.0,0.0,26.0,29.0,29.0,18.0,19.1,8.4,32.0,5.0,3000.0,20.0,14.0,4.0,22.0,7.0,25.0,56.0,380.0,380.0,40.0,1.0,1974.3953997950002,925.083849795,302.15,31.71819223503178,4.610211269363276,31.83777614411059,31.71819223503178,1.8182818137018086,1.244840628798408,29.0,1.2289880319911877,0.40818668973330696,15.579119894550546,0.026201,24.281808,17.389789,2.718192,0.4753586252919833,,0.026201
2020-11-18 18:00:00,955.0,4.0,28.0,0.0,25.0,30.0,29.0,16.0,19.7,10.7,33.0,12.0,3000.0,20.0,14.0,3.0,22.0,6.0,15.0,51.0,570.0,0.0,4.0,0.0,2033.235299795,1150.636799795,303.15,32.874385646879205,11.895448307885943,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,30.0,1.2344686036330144,0.32909106227991014,11.874813678078063,0.027713,18.125614,10.104552,2.874386,0.365029873935522,,0.027713
2020-11-18 23:00:00,955.0,4.0,14.0,0.0,23.0,27.0,24.0,8.0,17.9,7.2,30.0,0.0,3000.0,20.0,14.0,0.0,21.0,7.0,15.0,48.0,0.0,0.0,24.0,2.0,1856.715599795,807.4040497950001,300.15,29.32562674788005,0.2617237001121566,29.444948373104012,29.32562674788005,1.823437657026575,1.23151240942895,27.0,1.2180627205999808,0.37526097410215176,17.238972748980597,0.021768,18.674373,20.738276,2.325627,0.3676516324298462,,0.021768
2020-11-19 15:00:00,955.0,4.0,14.0,0.0,22.0,24.0,17.0,15.0,15.4,7.7,24.0,2.0,0.0,0.0,14.0,0.0,21.0,0.0,0.0,41.0,0.0,0.0,10.0,3.0,1611.5493497950004,856.4372997950001,297.15,23.949028528735255,2.128160033334666,24.066942269485423,23.949028528735255,1.8345623652559577,1.2017855308873702,24.0,1.4982513515499745,-6.476697335589145,13.845046631493053,0.0,17.050971,18.87184,-0.050971,-0.02615200303562289,,0.0
2020-11-19 16:00:00,955.0,4.0,14.0,0.0,22.0,23.0,19.0,14.0,15.0,9.2,23.0,8.0,0.0,0.0,14.0,0.0,22.0,0.0,0.0,38.0,0.0,0.0,23.0,2.0,1572.322749795,1003.5370497949999,296.15,23.03263699001485,7.2823232153630215,23.150214314447055,23.03263699001485,1.8364069472026923,1.196743141961827,23.0,1.196557137921818,0.002926586687496607,10.112510622209575,0.000289,14.967363,14.717677,0.032637,0.031605491877189716,,0.000289
