Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,DefrostN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2021-03-31 17:00:00,8973.0,4.0,17.5,31.0,25.0,33.0,31.0,23.2,9.9,39.0,10.0,3000.0,20.0,16.0,6.0,17.0,6.0,27.0,6.0,30.0,67.0,860.0,660.0,60.0,34.0,0.0,0.0,0.0,2376.468049795,1072.183599795,298.15,39.15724672182836,9.494291351226025,39.275771056543306,39.15724672182836,1.8011099726401756,1.2868624556915962,25.0,1.2041652154850826,1.867661929108835,15.28457656710135,0.122193,27.842753,7.505709,14.157247,1.735542332208239,,0.122193
2021-03-31 18:00:00,8973.0,4.0,11.2,31.0,25.0,34.0,31.0,25.6,9.9,43.0,10.0,3000.0,20.0,16.0,4.0,18.0,7.0,45.0,0.0,0.0,74.0,380.0,380.0,30.0,0.0,0.0,0.0,0.0,2611.827649795,1072.183599795,298.15,43.07764542076404,9.494291351226025,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,25.0,1.2030896907209456,2.6119868604141985,16.20220481273312,0.161212,30.922355,8.505709,18.077645,1.4967855380917776,,0.161212
2021-04-01 09:00:00,8973.0,4.0,6.3,30.0,25.0,35.0,28.0,25.6,8.7,43.0,6.0,3000.0,20.0,16.0,1.0,20.0,7.0,26.0,0.0,0.0,79.0,380.0,0.0,38.0,0.0,1.0,0.0,0.0,2611.827649795,954.503799795,298.15,43.07764542076404,5.631561393210063,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,25.0,1.2030896907209456,3.023051946482842,18.062541957026287,0.167366,35.922355,14.368439,18.077645,1.382331789734657,,0.167366
2021-04-01 10:00:00,8973.0,4.0,6.3,30.0,25.0,36.0,29.0,26.2,9.2,44.0,8.0,3000.0,20.0,16.0,1.0,16.0,8.0,26.0,0.0,0.0,83.0,380.0,0.0,42.0,3.0,0.0,1.0,0.0,2670.667549795,1003.5370497949999,298.15,44.01540253572364,7.2823232153630215,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,25.0,1.202823731389126,3.053878663832485,17.424616317114545,0.175262,38.984597,8.717677,19.015403,1.3567504002494355,,0.175262
2021-04-01 12:00:00,8973.0,4.0,6.3,31.0,25.0,37.0,30.0,26.2,8.4,44.0,5.0,3000.0,20.0,16.0,1.0,19.0,8.0,26.0,0.0,0.0,86.0,380.0,0.0,46.0,0.0,1.0,0.0,0.0,2670.667549795,925.083849795,298.15,44.01540253572364,4.610211269363276,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,25.0,1.202823731389126,3.3536102467521043,18.69015724990112,0.179432,41.984597,14.389789,19.015403,1.46099230875173,,0.179432
2021-04-01 14:00:00,8973.0,4.0,6.3,31.0,25.0,35.0,30.0,25.0,8.4,42.0,5.0,3000.0,20.0,16.0,2.0,19.0,8.0,26.0,0.0,0.0,85.0,470.0,0.0,56.0,0.0,1.0,0.0,0.0,2552.987749795,925.083849795,298.15,42.123610354308255,4.610211269363276,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,25.0,1.2033568040538971,2.912515657450776,18.39783801003484,0.158307,42.87639,14.389789,17.12361,1.5393931875155893,,0.158307
2021-04-01 15:00:00,8973.0,4.0,6.3,30.0,22.0,35.0,28.0,26.2,8.4,44.0,5.0,3000.0,20.0,16.0,1.0,18.0,8.0,26.0,0.0,0.0,90.0,380.0,0.0,27.0,0.0,0.0,0.0,0.0,2670.667549795,925.083849795,295.15,44.01540253572364,4.610211269363276,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,22.0,1.1860782413742825,3.660884690780009,18.69015724990112,0.195872,45.984597,13.389789,22.015403,1.5708006205234053,,0.195872
2021-04-01 16:00:00,8973.0,4.0,6.3,28.0,23.0,34.0,28.0,25.0,7.7,42.0,2.0,3000.0,20.0,16.0,1.0,17.0,8.0,26.0,0.0,0.0,92.0,380.0,0.0,50.0,0.0,1.0,0.0,0.0,2552.987749795,856.4372997950001,296.15,42.123610354308255,2.128160033334666,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,23.0,1.1921536800939305,3.402561158921025,19.6132225840829,0.173483,49.87639,14.87184,19.12361,1.354017104710521,,0.173483
2021-04-01 17:00:00,8973.0,4.0,6.3,29.0,25.0,35.0,28.0,25.6,7.7,43.0,2.0,3000.0,20.0,16.0,1.0,17.0,8.0,26.0,0.0,0.0,93.0,380.0,0.0,16.0,0.0,0.0,0.0,0.0,2611.827649795,856.4372997950001,298.15,43.07764542076404,2.128160033334666,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,25.0,1.2030896907209456,3.3958779004539767,19.74982213244166,0.171945,49.922355,14.87184,18.077645,1.284138395284207,,0.171945
2021-04-01 18:00:00,8973.0,4.0,6.3,29.0,24.0,34.0,28.0,25.0,7.9,42.0,3.0,3000.0,20.0,16.0,1.0,16.0,8.0,26.0,0.0,0.0,85.0,380.0,0.0,18.0,0.0,1.0,0.0,0.0,2552.987749795,876.050599795,297.15,42.123610354308255,2.852183332954155,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,24.0,1.1977472987418052,3.2085336637573802,19.2586905192989,0.166602,42.87639,13.147817,18.12361,1.3809926926129996,,0.166602
