Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,OU1PcMKS,OU1PeMKS,Tc(Rp),Te(Rp),SHdis,SHsuc,TLiq,TCondTPOut,SCLiq(Rp),ModifySC(Rp),RLI(Rp),CCDI
2019-12-11 03:00:00,502.0,19.0,37.5,0.0,13.0,12.0,12.0,33.0,25.6,8.9,43.0,7.0,1500.0,0.0,22.0,7.0,11.0,18.0,31.0,60.0,1140.0,1110.0,60.0,0.0,2611.827649795,974.1170997950001,43.07764542076404,6.299359427382285,16.922355,4.700641,33.0,43.07764542076404,10.077645,0.3350543188810557,0.7259893,
2019-12-11 04:00:00,502.0,19.0,37.5,1.0,14.0,13.0,13.0,37.0,26.8,9.5,45.0,9.0,1380.0,0.0,22.0,7.0,10.0,19.0,29.0,60.0,940.0,910.0,57.0,2.0,2729.507449795,1032.956999795,44.937479651873446,8.243829250455633,15.06252,1.756171,37.0,44.937479651873446,7.93748,0.2565651788483468,0.7836825,
2019-12-11 05:00:00,502.0,19.0,75.0,0.0,14.0,14.0,9.0,36.0,28.6,7.9,48.0,3.0,1760.0,0.0,22.0,8.0,9.0,22.0,65.0,71.0,1360.0,1180.0,60.0,0.0,2906.0271497950002,876.050599795,47.61508484535182,2.852183332954155,23.384915,6.147817,36.0,47.61508484535182,11.615085,0.34553192572429564,0.7405198,
2019-12-11 06:00:00,502.0,19.0,75.0,0.0,14.0,16.0,10.0,39.0,28.6,8.2,48.0,4.0,1800.0,0.0,22.0,8.0,5.0,22.0,64.0,70.0,1360.0,1180.0,60.0,0.0,2906.0271497950002,905.4705497949999,47.61508484535182,3.9156327252940173,22.384915,1.084367,39.0,47.61508484535182,8.615085,0.2562862786048052,0.802856,
2019-12-11 07:00:00,502.0,19.0,75.0,0.0,14.0,19.0,10.0,38.0,28.6,8.4,48.0,5.0,3000.0,0.0,22.0,8.0,6.0,22.0,68.0,69.0,1360.0,1180.0,60.0,0.0,2906.0271497950002,925.083849795,47.61508484535182,4.610211269363276,21.384915,1.389789,38.0,47.61508484535182,9.615085,0.28603482764463534,0.7764187,
2019-12-11 08:00:00,502.0,19.0,75.0,0.0,13.0,19.0,10.0,39.0,28.6,8.2,48.0,4.0,3000.0,0.0,22.0,8.0,5.0,22.0,71.0,70.0,1360.0,1180.0,60.0,0.0,2906.0271497950002,905.4705497949999,47.61508484535182,3.9156327252940173,22.384915,1.084367,39.0,47.61508484535182,8.615085,0.24888238866058568,0.802856,
2019-12-11 09:00:00,502.0,19.0,75.0,0.0,12.0,17.0,9.0,36.0,28.6,7.9,48.0,3.0,3000.0,0.0,22.0,8.0,4.0,22.0,71.0,70.0,1360.0,1180.0,60.0,0.0,2906.0271497950002,876.050599795,47.61508484535182,2.852183332954155,22.384915,1.147817,36.0,47.61508484535182,11.615085,0.326128241739003,0.7405198,
2019-12-11 10:00:00,502.0,19.0,37.5,0.0,12.0,15.0,11.0,36.0,28.6,8.9,48.0,7.0,2340.0,0.0,22.0,7.0,8.0,21.0,38.0,64.0,1140.0,1110.0,60.0,0.0,2906.0271497950002,974.1170997950001,47.61508484535182,6.299359427382285,16.384915,1.700641,36.0,47.61508484535182,11.615085,0.326128241739003,0.7188701,
2019-12-11 11:00:00,502.0,19.0,37.5,0.0,11.0,13.0,10.0,31.0,28.6,8.2,48.0,4.0,3000.0,0.0,22.0,7.0,9.0,21.0,45.0,77.0,1140.0,1110.0,60.0,0.0,2906.0271497950002,905.4705497949999,47.61508484535182,3.9156327252940173,29.384915,5.084367,31.0,47.61508484535182,16.615085,0.4537770449030993,0.6197873,
2019-12-11 12:00:00,502.0,19.0,37.5,1.0,9.0,13.0,9.0,31.0,28.6,8.2,48.0,4.0,3000.0,0.0,22.0,8.0,8.0,21.0,46.0,77.0,1360.0,1180.0,58.0,2.0,2906.0271497950002,905.4705497949999,47.61508484535182,3.9156327252940173,29.384915,4.084367,31.0,47.61508484535182,16.615085,0.4302744657053368,0.6197873,
