Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2017-04-17 08:00:00,2.0,4.0,74.0,0.0,29.0,38.0,33.0,29.0,23.8,8.9,40.0,7.0,3000.0,40.0,20.0,1.0,17.0,7.0,48.0,0.0,0.0,67.0,380.0,0.0,59.0,0.0,0.0,0.0,2435.3079497950002,974.1170997950001,311.15,40.164114470573566,6.299359427382285,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,38.0,1.2793764314483078,0.43475730851672073,17.16476704862434,0.025328,26.835886,10.700641,2.164114,0.19384555807844714,,0.025328
2017-04-17 12:00:00,2.0,4.0,74.0,0.0,25.0,36.0,31.0,22.0,22.7,10.3,38.0,11.0,3000.0,20.0,20.0,0.0,20.0,7.0,27.0,0.0,0.0,67.0,0.0,0.0,43.0,4.0,1.0,1.0,2327.434799795,1111.4101997950002,309.15,38.30363455847197,10.710802812920974,38.42244832251032,38.30363455847197,1.803186649623992,1.2819850471480865,36.0,1.2680573829050272,0.3682615717327078,14.412391084735711,0.025552,28.696365,9.289197,2.303635,0.17315831924539807,,0.025552
2017-04-18 02:00:00,2.0,4.0,74.0,0.0,30.0,25.0,23.0,35.0,26.2,9.2,44.0,8.0,3000.0,80.0,20.0,1.0,16.0,8.0,57.0,0.0,0.0,76.0,380.0,0.0,60.0,0.0,0.0,0.0,2670.667549795,1003.5370497949999,298.15,44.01540253572364,7.2823232153630215,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,25.0,1.202823731389126,3.053878663832485,17.424616317114545,0.175262,31.984597,8.717677,19.015403,1.3567504002494355,,0.175262
2017-04-18 03:00:00,2.0,4.0,74.0,0.0,31.0,21.0,21.0,32.0,23.8,9.9,40.0,10.0,3000.0,60.0,20.0,1.0,20.0,7.0,34.0,0.0,0.0,76.0,380.0,0.0,33.0,3.0,1.0,1.0,2435.3079497950002,1072.183599795,294.15,40.164114470573566,9.494291351226025,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,21.0,1.181497904791462,2.3437010130328297,15.548195818578431,0.150738,35.835886,10.505709,19.164114,2.0912128565762615,,0.150738
2017-04-18 04:00:00,2.0,4.0,74.0,0.0,33.0,35.0,33.0,32.0,17.3,11.5,29.0,14.0,0.0,0.0,20.0,0.0,34.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,36.0,0.0,4.0,0.0,1797.8756997950002,1229.089999795,308.15,28.086306441838985,14.176527939007542,28.2053975278115,28.086306441838985,1.8260537980259717,1.2246353673059887,35.0,1.857622415158767,-10.99284886836287,8.401408945854605,0.0,30.913694,19.823472,-6.913694,0.0,,0.0
2017-04-18 05:00:00,2.0,4.0,9.0,0.0,36.0,32.0,32.0,40.0,23.2,7.7,39.0,2.0,0.0,0.0,20.0,0.0,21.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,33.0,0.0,3.0,0.0,2376.468049795,856.4372997950001,305.15,39.15724672182836,2.128160033334666,39.275771056543306,39.15724672182836,1.8011099726401756,1.2868624556915962,32.0,1.2441859762862355,1.4275480092992197,19.07259130684415,0.074848,39.842753,18.87184,7.157247,2.2669267341436172,,0.074848
2017-04-18 06:00:00,2.0,4.0,46.0,0.0,33.0,20.0,20.0,34.0,25.0,8.9,42.0,7.0,3000.0,40.0,20.0,1.0,18.0,8.0,43.0,0.0,0.0,77.0,380.0,0.0,38.0,4.0,2.0,1.0,2552.987749795,974.1170997950001,293.15,42.123610354308255,6.299359427382285,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,20.0,1.175455416294934,3.181996078999587,17.57071382148552,0.181097,34.87639,11.700641,22.12361,2.4248744894671024,,0.181097
2017-04-18 07:00:00,2.0,4.0,37.0,0.0,35.0,28.0,25.0,38.0,23.8,8.2,40.0,4.0,3000.0,40.0,20.0,0.0,14.0,7.0,34.0,0.0,0.0,76.0,0.0,0.0,41.0,0.0,0.0,0.0,2435.3079497950002,905.4705497949999,301.15,40.164114470573566,3.9156327252940173,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,28.0,1.2208770367389692,2.16477841148291,18.370884768419796,0.117837,35.835886,10.084367,12.164114,2.3555082036454085,,0.117837
2017-04-18 08:00:00,2.0,4.0,46.0,0.0,31.0,30.0,31.0,29.0,16.6,10.3,27.0,11.0,0.0,0.0,20.0,0.0,32.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,22.0,0.0,1.0,0.0,1729.2291497950002,1111.4101997950002,303.15,26.601272954132696,10.710802812920974,26.720010105694712,26.601272954132696,1.8291451012056246,1.2164159174841824,30.0,1.8447168073017146,-11.051708142924921,9.77293165755161,0.0,16.398727,21.289197,-3.398727,0.0,,0.0
2017-04-18 09:00:00,2.0,4.0,46.0,0.0,30.0,32.0,31.0,28.0,16.6,10.3,27.0,11.0,0.0,0.0,20.0,0.0,32.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,21.0,0.0,1.0,0.0,1729.2291497950002,1111.4101997950002,305.15,26.601272954132696,10.710802812920974,26.720010105694712,26.601272954132696,1.8291451012056246,1.2164159174841824,32.0,1.8537118483297768,-11.847225349256291,9.77293165755161,0.0,17.398727,21.289197,-5.398727,0.0,,0.0
