Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1INV2Cur,OU1INV2rps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INV2Copt,OU1INVCOnOffN,OU1INV2COnOffN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-06-28 08:00:00,737.0,4.0,80.0,0.0,35.0,35.0,13.0,33.0,26.2,7.7,44.0,2.0,3000.0,220.0,12.0,6.0,8.0,16.0,129.0,0.0,0.0,72.0,710.0,0.0,60.0,0.0,0.0,0.0,2670.667549795,856.4372997950001,308.15,44.01540253572364,2.128160033334666,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,35.0,1.2599872337751516,2.0561286400126377,19.86568338800702,0.103502,27.984597,5.87184,9.015403,1.0000000514981289,,0.103502
2020-06-28 09:00:00,737.0,4.0,80.0,0.0,35.0,35.0,13.0,32.0,25.6,7.4,43.0,1.0,3000.0,220.0,12.0,6.0,7.0,16.0,129.0,0.0,0.0,71.0,710.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,827.0173497950001,308.15,43.07764542076404,1.0182989954336676,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,35.0,1.2603425833720272,1.8692938527449963,20.284344539198646,0.092155,27.922355,5.981701,8.077645,0.9999999479100629,,0.092155
2020-06-28 10:00:00,737.0,4.0,80.0,0.0,34.0,35.0,14.0,31.0,25.6,7.4,43.0,1.0,3000.0,220.0,12.0,6.0,7.0,15.0,129.0,0.0,0.0,70.0,710.0,0.0,60.0,0.0,0.0,0.0,2611.827649795,827.0173497950001,308.15,43.07764542076404,1.0182989954336676,43.1941629142479,43.07764542076404,1.791119984075567,1.3095079727485563,35.0,1.2603425833720272,1.8692938527449963,20.284344539198646,0.092155,26.922355,5.981701,8.077645,0.8898392287413365,,0.092155
2020-06-28 11:00:00,737.0,4.0,80.0,0.0,34.0,34.0,13.0,31.0,25.0,7.2,42.0,0.0,3000.0,220.0,12.0,6.0,6.0,15.0,129.0,0.0,0.0,70.0,710.0,0.0,60.0,0.0,0.0,0.0,2552.987749795,807.4040497950001,307.15,42.123610354308255,0.2617237001121566,42.24072555657432,42.123610354308255,1.7936257105794882,1.3039562966665308,34.0,1.2548315384904531,1.8569198615957185,20.527159369477815,0.090462,27.87639,5.738276,8.12361,0.9999999563853705,,0.090462
2020-06-28 12:00:00,737.0,4.0,80.0,0.0,33.0,31.0,7.0,30.0,24.4,7.2,41.0,0.0,3000.0,220.0,12.0,6.0,11.0,15.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2494.1478497949997,807.4040497950001,304.15,41.15266006868552,0.2617237001121566,41.27030889773448,41.15266006868552,1.796124015276936,1.2983345759982252,31.0,1.237750706721199,2.169787428361181,20.384358458815615,0.106444,32.84734,10.738276,10.15266,1.2453186953049233,,0.106444
2020-06-28 13:00:00,737.0,4.0,80.0,0.0,33.0,30.0,6.0,30.0,24.4,7.2,41.0,0.0,3000.0,220.0,12.0,6.0,11.0,15.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2494.1478497949997,807.4040497950001,303.15,41.15266006868552,0.2617237001121566,41.27030889773448,41.15266006868552,1.796124015276936,1.2983345759982252,30.0,1.2320028805617749,2.3424777118203246,20.384358458815615,0.114915,32.84734,10.738276,11.15266,1.3679780471698457,,0.114915
2020-06-28 14:00:00,737.0,4.0,80.0,0.0,33.0,28.0,12.0,29.0,23.8,7.2,40.0,0.0,3000.0,220.0,12.0,6.0,11.0,14.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,807.4040497950001,301.15,40.164114470573566,0.2617237001121566,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,28.0,1.2208770367389692,2.4269872580307026,20.219689171177702,0.120031,33.835886,10.738276,12.164114,1.697922897514245,,0.120031
2020-06-28 15:00:00,737.0,4.0,80.0,0.0,33.0,29.0,5.0,29.0,23.8,7.2,40.0,0.0,3000.0,220.0,12.0,6.0,11.0,15.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,807.4040497950001,302.15,40.164114470573566,0.2617237001121566,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,29.0,1.2265817396787952,2.2670805436035177,20.219689171177702,0.112122,33.835886,10.738276,11.164114,1.5583383048744321,,0.112122
2020-06-28 16:00:00,737.0,4.0,80.0,0.0,32.0,28.0,5.0,29.0,24.4,7.2,41.0,0.0,3000.0,220.0,12.0,6.0,10.0,15.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2494.1478497949997,807.4040497950001,301.15,41.15266006868552,0.2617237001121566,41.27030889773448,41.15266006868552,1.796124015276936,1.2983345759982252,28.0,1.2205854149165034,2.6679318553359668,20.384358458815615,0.130881,32.84734,9.738276,13.15266,1.4370314095898622,,0.130881
2020-06-28 17:00:00,737.0,4.0,80.0,0.0,33.0,28.0,6.0,29.0,23.8,7.2,40.0,0.0,3000.0,220.0,12.0,6.0,11.0,14.0,129.0,0.0,0.0,74.0,710.0,0.0,60.0,0.0,0.0,0.0,2435.3079497950002,807.4040497950001,301.15,40.164114470573566,0.2617237001121566,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,28.0,1.2208770367389692,2.4269872580307026,20.219689171177702,0.120031,33.835886,10.738276,12.164114,1.697922897514245,,0.120031
