Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,DefrostN,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-04-30 07:00:00,488.0,4.0,42.0,0.0,31.0,33.0,33.0,30.0,20.3,8.7,34.0,6.0,3000.0,20.0,22.0,7.0,21.0,14.0,21.0,57.0,940.0,910.0,60.0,0.0,2092.075199795,954.503799795,306.15,34.00562152346981,5.631561393210063,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,33.0,1.2516973200105994,0.16611277047939324,15.796343814156222,0.010516,22.994378,15.368439,1.005622,0.334580382841772,,0.010516
2020-04-30 08:00:00,488.0,4.0,56.0,0.0,30.0,31.0,32.0,24.0,22.7,7.9,38.0,3.0,3000.0,40.0,22.0,8.0,14.0,17.0,46.0,73.0,1360.0,1180.0,59.0,0.0,2327.434799795,876.050599795,304.15,38.30363455847197,2.852183332954155,38.42244832251032,38.30363455847197,1.803186649623992,1.2819850471480865,31.0,1.2386568676948508,1.3778202461717028,18.508316150942786,0.074443,34.696365,11.147817,7.303635,0.8795708612379024,,0.074443
2020-05-09 05:00:00,488.0,4.0,56.0,0.0,23.0,29.0,30.0,24.0,21.5,7.9,36.0,3.0,3000.0,20.0,22.0,5.0,12.0,17.0,48.0,69.0,550.0,520.0,60.0,0.0,2209.754999795,876.050599795,302.15,36.19792020308063,2.852183332954155,36.31724762641244,36.19792020308063,1.8081802466877617,1.2700216443023171,29.0,1.227746329518428,1.2575543516980567,17.9774036892233,0.069952,32.80208,9.147817,7.19792,0.5453829004300146,,0.069952
2020-05-09 06:00:00,488.0,4.0,56.0,0.0,23.0,32.0,33.0,24.0,20.3,7.9,34.0,3.0,3000.0,60.0,22.0,5.0,12.0,16.0,47.0,68.0,550.0,520.0,60.0,0.0,2092.075199795,876.050599795,305.15,34.00562152346981,2.852183332954155,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,32.0,1.2458113839672436,0.357162538592264,17.34041918678678,0.020597,33.994378,9.147817,2.005622,0.18223614138674055,,0.020597
2020-05-09 07:00:00,488.0,4.0,56.0,0.0,24.0,33.0,34.0,25.0,20.9,7.9,35.0,3.0,3000.0,80.0,22.0,5.0,12.0,16.0,48.0,69.0,550.0,520.0,60.0,0.0,2150.915099795,876.050599795,306.15,35.11309738715238,2.852183332954155,35.23258562275021,35.11309738715238,1.8106871371311621,1.2638926568350608,33.0,1.2513449983707323,0.39154171914120756,17.672757487985116,0.022155,33.886903,9.147817,2.113097,0.19014473880548435,,0.022155
2020-05-09 08:00:00,488.0,4.0,56.0,0.0,24.0,32.0,33.0,23.0,20.3,7.9,34.0,3.0,3000.0,60.0,22.0,5.0,13.0,16.0,42.0,66.0,550.0,520.0,60.0,0.0,2092.075199795,876.050599795,305.15,34.00562152346981,2.852183332954155,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,32.0,1.2458113839672436,0.357162538592264,17.34041918678678,0.020597,31.994378,10.147817,2.005622,0.20044951683366066,,0.020597
2020-05-09 09:00:00,488.0,4.0,56.0,0.0,24.0,30.0,32.0,24.0,20.3,8.2,34.0,4.0,3000.0,40.0,22.0,5.0,13.0,16.0,41.0,67.0,550.0,520.0,60.0,0.0,2092.075199795,905.4705497949999,303.15,34.00562152346981,3.9156327252940173,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,30.0,1.2341475776911561,0.6603224433225929,16.749622979451196,0.039423,32.994378,9.084367,4.005622,0.4003371495318069,,0.039423
2020-05-09 10:00:00,488.0,4.0,56.0,0.0,23.0,29.0,30.0,24.0,20.9,8.2,35.0,4.0,3000.0,20.0,22.0,5.0,12.0,16.0,42.0,66.0,550.0,520.0,47.0,0.0,2150.915099795,905.4705497949999,302.15,35.11309738715238,3.9156327252940173,35.23258562275021,35.11309738715238,1.8106871371311621,1.2638926568350608,29.0,1.2280541542113586,1.0085282907626651,17.091269230179435,0.059008,30.886903,8.084367,6.113097,0.5046683605865984,,0.059008
2020-05-11 05:00:00,488.0,4.0,100.0,0.0,26.0,32.0,30.0,29.0,20.3,8.4,34.0,5.0,3000.0,20.0,22.0,4.0,16.0,13.0,21.0,48.0,380.0,380.0,60.0,0.0,2092.075199795,925.083849795,305.15,34.00562152346981,4.610211269363276,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,32.0,1.2458113839672436,0.3363370442582845,16.363751895703714,0.020554,13.994378,11.389789,2.005622,0.2505267072794017,,0.020554
2020-05-11 06:00:00,488.0,4.0,100.0,0.0,26.0,28.0,30.0,25.0,23.2,7.2,39.0,0.0,3000.0,20.0,22.0,8.0,8.0,20.0,82.0,76.0,1360.0,1180.0,60.0,0.0,2376.468049795,807.4040497950001,301.15,39.15724672182836,0.2617237001121566,39.275771056543306,39.15724672182836,1.8011099726401756,1.2868624556915962,28.0,1.2211701348783062,2.1886644610215997,20.032401556746436,0.109256,36.842753,7.738276,11.157247,0.8479925349039564,,0.109256
