Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,DefrostN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-06-24 03:00:00,760.0,4.0,8.0,26.0,26.0,25.0,23.0,19.7,8.7,33.0,6.0,3000.0,40.0,10.0,4.0,24.0,7.0,15.0,38.0,460.0,0.0,43.0,2.0,0.0,2033.235299795,954.503799795,299.15,32.874385646879205,5.631561393210063,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,26.0,1.2114594749725223,0.9486435183631019,15.410313890193809,0.061559,5.125614,18.368439,6.874386,1.000000051367615,,0.061559
2020-06-24 04:00:00,760.0,4.0,15.1,27.0,27.0,27.0,15.0,20.3,9.5,34.0,9.0,3000.0,40.0,10.0,4.0,20.0,7.0,17.0,63.0,460.0,0.0,32.0,1.0,0.0,2092.075199795,1032.956999795,300.15,34.00562152346981,8.243829250455633,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,27.0,1.2168790883669867,0.9076820034427532,14.345106027269507,0.063275,28.994378,11.756171,7.005622,1.000000068021115,,0.063275
2020-06-24 05:00:00,760.0,4.0,14.2,27.0,27.0,28.0,15.0,22.1,8.9,37.0,7.0,3000.0,80.0,10.0,8.0,22.0,8.0,30.0,67.0,820.0,0.0,34.0,2.0,0.0,2268.5948997950004,974.1170997950001,300.15,37.26111536149989,6.299359427382285,37.38021791494248,37.26111536149989,1.8056809708242858,1.2760504955057508,27.0,1.2160071450163825,1.5509916902873118,16.429829683078903,0.094401,29.738885,15.700641,10.261115,0.9999999647699225,,0.094401
2020-06-24 06:00:00,760.0,4.0,14.2,26.0,26.0,26.0,17.0,22.7,8.7,38.0,6.0,3000.0,40.0,10.0,5.0,24.0,9.0,32.0,62.0,560.0,0.0,32.0,2.0,0.0,2327.434799795,954.503799795,299.15,38.30363455847197,5.631561393210063,38.42244832251032,38.30363455847197,1.803186649623992,1.2819850471480865,26.0,1.2100453678935872,1.9078587021879516,17.059699852051033,0.111834,23.696365,18.368439,12.303635,1.0000000358859837,,0.111834
2020-06-24 07:00:00,760.0,4.0,22.2,25.0,25.0,24.0,18.0,21.5,9.5,36.0,9.0,3000.0,40.0,10.0,4.0,24.0,8.0,32.0,59.0,460.0,0.0,34.0,2.0,0.0,2209.754999795,1032.956999795,298.15,36.19792020308063,8.243829250455633,36.31724762641244,36.19792020308063,1.8081802466877617,1.2700216443023171,25.0,1.2049387445355257,1.45493674045465,15.07584305770352,0.096508,22.80208,15.756171,11.19792,0.9999999818644334,,0.096508
2020-06-26 03:00:00,760.0,4.0,15.1,30.0,30.0,6.0,10.0,22.7,8.4,38.0,5.0,3000.0,200.0,10.0,8.0,18.0,9.0,36.0,58.0,820.0,0.0,60.0,0.0,0.0,2327.434799795,925.083849795,303.15,38.30363455847197,4.610211269363276,38.42244832251032,38.30363455847197,1.803186649623992,1.2819850471480865,30.0,1.2328820610966305,1.450581067840389,17.592029173288942,0.082457,19.696365,13.389789,8.303635,1.000000053172864,,0.082457
2020-06-26 04:00:00,760.0,4.0,7.1,30.0,30.0,8.0,10.0,22.1,8.9,37.0,7.0,3000.0,100.0,10.0,8.0,22.0,8.0,21.0,60.0,820.0,0.0,13.0,0.0,0.0,2268.5948997950004,974.1170997950001,303.15,37.26111536149989,6.299359427382285,37.38021791494248,37.26111536149989,1.8056809708242858,1.2760504955057508,30.0,1.2331957144717534,1.1712725165448439,16.429829683078903,0.071289,22.738885,15.700641,7.261115,0.9999999502142755,,0.071289
2020-06-26 07:00:00,760.0,4.0,8.0,33.0,33.0,33.0,27.0,23.8,8.9,40.0,7.0,3000.0,40.0,10.0,5.0,34.0,9.0,17.0,45.0,560.0,0.0,16.0,2.0,0.0,2435.3079497950002,974.1170997950001,306.15,40.164114470573566,6.299359427382285,40.28223298195286,40.164114470573566,1.7986180901579527,1.2926382231124427,33.0,1.2496752552305204,1.3010345732989608,17.16476704862434,0.075797,4.835886,27.700641,7.164114,0.9999999343151805,,0.075797
2020-06-26 09:00:00,760.0,4.0,7.1,32.0,32.0,32.0,27.0,26.2,7.2,44.0,0.0,3000.0,40.0,10.0,7.0,31.0,10.0,21.0,49.0,750.0,0.0,14.0,0.0,0.0,2670.667549795,807.4040497950001,305.15,44.01540253572364,0.2617237001121566,44.131258050645556,44.01540253572364,1.788604771756641,1.3149940255148376,32.0,1.2425549693000792,2.7342829909112245,20.74964769259735,0.131775,4.984597,30.738276,12.015403,1.0000000386401005,,0.131775
2020-06-28 08:00:00,760.0,4.0,7.1,28.0,28.0,28.0,13.0,19.7,9.2,33.0,8.0,3000.0,40.0,10.0,8.0,22.0,7.0,15.0,62.0,820.0,0.0,10.0,1.0,0.0,2033.235299795,1003.5370497949999,301.15,32.874385646879205,7.2823232153630215,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,28.0,1.2229104718073787,0.6575646189637601,14.478581109593897,0.045416,29.125614,14.717677,4.874386,1.0000000724441644,,0.045416
2020-06-29 06:00:00,760.0,4.0,7.1,29.0,29.0,29.0,13.0,21.5,8.7,36.0,6.0,3000.0,40.0,10.0,4.0,27.0,8.0,15.0,62.0,460.0,0.0,12.0,0.0,0.0,2209.754999795,954.503799795,302.15,36.19792020308063,5.631561393210063,36.31724762641244,36.19792020308063,1.8081802466877617,1.2700216443023171,29.0,1.227746329518428,1.1400552692973034,16.481657476815215,0.069171,25.80208,21.368439,7.19792,0.9999999717862074,,0.069171
2020-06-29 09:00:00,760.0,4.0,14.2,26.0,26.0,27.0,16.0,22.1,8.4,37.0,5.0,3000.0,40.0,10.0,6.0,21.0,8.0,28.0,63.0,710.0,0.0,60.0,0.0,0.0,2268.5948997950004,925.083849795,299.15,37.26111536149989,4.610211269363276,37.38021791494248,37.26111536149989,1.8056809708242858,1.2760504955057508,26.0,1.2103254865622457,1.7759125095449941,17.32445402489394,0.102509,25.738885,16.389789,11.261115,0.9999999678983938,,0.102509
2020-06-29 10:00:00,760.0,4.0,7.1,26.0,27.0,25.0,9.0,19.7,8.4,33.0,5.0,3000.0,40.0,10.0,8.0,21.0,7.0,15.0,63.0,820.0,0.0,60.0,0.0,0.0,2033.235299795,925.083849795,300.15,32.874385646879205,4.610211269363276,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,27.0,1.2171726969796275,0.8645699561971708,15.986790386128698,0.05408,30.125614,16.389789,5.874386,0.8545325068672605,,0.05408
2020-06-29 11:00:00,760.0,4.0,15.1,26.0,27.0,25.0,14.0,20.3,8.9,34.0,7.0,3000.0,40.0,10.0,8.0,19.0,7.0,23.0,61.0,820.0,0.0,8.0,1.0,0.0,2092.075199795,974.1170997950001,300.15,34.00562152346981,6.299359427382285,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,27.0,1.2168790883669867,0.986974052980008,15.425350564550774,0.063984,26.994378,12.700641,7.005622,0.875087834150272,,0.063984
2020-06-30 06:00:00,760.0,4.0,7.1,31.0,31.0,25.0,7.0,22.7,7.9,38.0,3.0,3000.0,40.0,10.0,5.0,28.0,8.0,15.0,71.0,560.0,0.0,12.0,3.0,0.0,2327.434799795,876.050599795,304.15,38.30363455847197,2.852183332954155,38.42244832251032,38.30363455847197,1.803186649623992,1.2819850471480865,31.0,1.2386568676948508,1.3778202461717028,18.508316150942786,0.074443,32.696365,25.147817,7.303635,1.0000000604531931,,0.074443
