Datetime,UNIT_ID,Ctrlmode,IU_TON_Cap,OU1Ta,OU1ThexLiq,OU1Tsh,OU1TLiqPipe,OU1Pc,OU1Pe,OU1Tc,OU1Te,OU1EV1pls,OU1EV2pls,OU1HP,OU1FanStep,OU1TAccIn,OU1INVCur,OU1INVrps,OU1Td,OU1Fanrps,OU1Fan2rps,OU1INVCopt,OU1INVCOnOffN,DefrostN,OU1PcMKS,OU1PeMKS,OU1ThexdiMKS,Tc(Rp),Te(Rp),TCondTPIn,TCondTPOut,SCondTPin,SCondTPOut,TCondDi,SConddi,ACondSC_Te,ACondTP_Te,RLI(Te),SHdis,SHsuc,SCconddi(Rp),ModifySCDi(Rp),CCDI,RLILiq
2020-05-07 09:00:00,496.0,4.0,7.1,25.0,30.0,29.0,16.0,17.9,7.2,30.0,0.0,3000.0,20.0,22.0,0.0,25.0,12.0,12.0,54.0,0.0,0.0,3.0,0.0,0.0,1856.715599795,807.4040497950001,303.15,29.32562674788005,0.2617237001121566,29.444948373104012,29.32562674788005,1.823437657026575,1.23151240942895,30.0,1.8262323678000327,-17.48541482688338,17.238972748980597,0.0,24.674373,24.738276,-0.674373,-0.1559018008963681,,0.0
2020-05-08 05:00:00,496.0,4.0,12.5,27.0,33.0,31.0,18.0,20.3,8.9,34.0,7.0,3000.0,20.0,22.0,1.0,21.0,13.0,13.0,61.0,380.0,0.0,44.0,2.0,0.0,2092.075199795,974.1170997950001,306.15,34.00562152346981,6.299359427382285,34.12520630836934,34.00562152346981,1.8132044070010431,1.2576573244683467,33.0,1.2516973200105994,0.16213269121885193,15.425350564550774,0.010511,26.994378,14.700641,1.005622,0.14354500833809328,,0.010511
2020-05-08 06:00:00,496.0,4.0,50.0,28.0,30.0,31.0,26.0,22.1,8.7,37.0,6.0,3000.0,40.0,22.0,6.0,18.0,17.0,48.0,65.0,860.0,660.0,60.0,0.0,0.0,2268.5948997950004,954.503799795,303.15,37.26111536149989,5.631561393210063,37.38021791494248,37.26111536149989,1.8056809708242858,1.2760504955057508,30.0,1.2331957144717534,1.1998908550742284,16.78351587333432,0.071492,27.738885,12.368439,7.261115,0.7840432514409389,,0.071492
2020-05-08 07:00:00,496.0,4.0,37.5,28.0,29.0,30.0,24.0,22.1,7.9,37.0,3.0,3000.0,60.0,22.0,8.0,12.0,19.0,74.0,71.0,1360.0,1180.0,60.0,0.0,0.0,2268.5948997950004,876.050599795,302.15,37.26111536149989,2.852183332954155,37.38021791494248,37.26111536149989,1.8056809708242858,1.2760504955057508,29.0,1.2274401925375777,1.471840950430112,18.255559196477567,0.080624,33.738885,9.147817,8.261115,0.8920216062033878,,0.080624
2020-05-08 08:00:00,496.0,4.0,37.5,27.0,29.0,30.0,24.0,22.1,7.9,37.0,3.0,3000.0,60.0,22.0,8.0,10.0,19.0,75.0,69.0,1360.0,1180.0,60.0,0.0,0.0,2268.5948997950004,876.050599795,302.15,37.26111536149989,2.852183332954155,37.38021791494248,37.26111536149989,1.8056809708242858,1.2760504955057508,29.0,1.2274401925375777,1.471840950430112,18.255559196477567,0.080624,31.738885,7.147817,8.261115,0.805089379561605,,0.080624
2020-05-08 09:00:00,496.0,4.0,37.5,27.0,28.0,29.0,25.0,21.5,7.9,36.0,3.0,3000.0,40.0,22.0,8.0,12.0,18.0,74.0,69.0,1360.0,1180.0,2.0,0.0,0.0,2209.754999795,876.050599795,301.15,36.19792020308063,2.852183332954155,36.31724762641244,36.19792020308063,1.8081802466877617,1.2700216443023171,28.0,1.2220087903359125,1.4042212219781631,17.9774036892233,0.07811,32.80208,9.147817,8.19792,0.8912797479210897,,0.07811
2020-05-09 02:00:00,496.0,4.0,37.5,23.0,26.0,28.0,23.0,21.5,7.4,36.0,1.0,3000.0,20.0,22.0,7.0,8.0,19.0,78.0,73.0,940.0,910.0,60.0,0.0,0.0,2209.754999795,827.0173497950001,299.15,36.19792020308063,1.0182989954336676,36.31724762641244,36.19792020308063,1.8081802466877617,1.2700216443023171,26.0,1.2106069377996482,1.7872336510255737,18.964324321239886,0.094242,36.80208,6.981701,10.19792,0.772691442521347,,0.094242
2020-05-09 03:00:00,496.0,4.0,50.0,24.0,26.0,28.0,24.0,22.1,7.7,37.0,2.0,3000.0,20.0,22.0,7.0,10.0,19.0,84.0,68.0,940.0,910.0,60.0,0.0,0.0,2268.5948997950004,856.4372997950001,299.15,37.26111536149989,2.128160033334666,37.38021791494248,37.26111536149989,1.8056809708242858,1.2760504955057508,26.0,1.2103254865622457,1.9390453492312125,18.63902400079673,0.104031,30.738885,7.87184,11.261115,0.8491830960684984,,0.104031
2020-05-09 04:00:00,496.0,4.0,37.5,24.0,25.0,27.0,23.0,19.7,7.9,33.0,3.0,3000.0,20.0,22.0,7.0,10.0,17.0,68.0,63.0,1130.0,1100.0,60.0,0.0,0.0,2033.235299795,876.050599795,298.15,32.874385646879205,2.852183332954155,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,25.0,1.2057688138588136,1.187916640114533,16.97906694328003,0.069964,30.125614,7.147817,7.874386,0.8873161831511269,,0.069964
2020-05-09 05:00:00,496.0,4.0,37.5,23.0,25.0,26.0,22.0,19.7,7.9,33.0,3.0,3000.0,20.0,22.0,7.0,10.0,17.0,65.0,62.0,1130.0,1100.0,60.0,0.0,0.0,2033.235299795,876.050599795,298.15,32.874385646879205,2.852183332954155,32.99400244092101,32.874385646879205,1.8157349497205015,1.2513090173441843,25.0,1.2057688138588136,1.187916640114533,16.97906694328003,0.069964,29.125614,7.147817,7.874386,0.797455789311682,,0.069964
